tier,outreach_priority,score,name,category,zone,postcode,address,meters_from_zone_center,lat,lng,source,why_fit,notes,place_id,district
A,now,93,L'Atelier Patisserie,Bakery,Brixton,SW9 8LB,Market Row,66,51.4619,-0.1132,research,French patisserie — named cakes as drops,eatinbrixton,,SW9
A,now,93,Aziz Green Grocers,Greengrocer,Brixton,SW9 8JY,15 Electric Avenue,96,51.4626,-0.1138,research_expansion,Active Electric Avenue greengrocer (Companies House 07936624) — street-market fruit & veg day's arrivals on the Brixton spine.,https://open.endole.co.uk/explorer/postcode/sw9-8jy,,SW9
A,now,93,Danny's Greengrocers,Greengrocer,Brixton,SW9 8JP,19 Electric Avenue,96,51.4626,-0.1138,research_expansion,Independent Electric Avenue fruit & veg stall/shop — outdoor market greengrocer day's produce specials.,https://www.lambeth.co.uk/listing/152984-Dannys-Greengrocers/,,SW9
A,now,93,Abdul's Fruit & Veg,Greengrocer,Brixton,SW9 8JP,41 Electric Avenue,96,51.4626,-0.1138,research_expansion,Afro-Caribbean specialist greengrocer on Electric Avenue — tropical/seasonal produce arrivals suit day's boxes.,https://streets.openalfa.co.uk/streets/electric-lane-sw9-coldharbour-ward,,SW9
A,now,93,Asad Nasseri Quality Food & Veg,Greengrocer,Brixton,SW9 8JP,45 Electric Avenue,96,51.4626,-0.1138,research_expansion,Electric Avenue greengrocer listed in Lambeth directories — fresh fruit & veg counter on the market street.,https://www.lambeth.co.uk/listing/151786-Asad-Nasseri-Quality-Food-Veg/,,SW9
A,now,93,K.M Fresh Fruit & Vegetables,Greengrocer,Brixton,SW9 8JP,25 Electric Avenue,96,51.4626,-0.1138,research_expansion,"Electric Avenue fresh fruit, vegetables and groceries — another street greengrocer for day's arrivals density.",https://streets.openalfa.co.uk/streets/atlantic-road-sw9-coldharbour-ward-london-borough-of-lambeth-greater-london,,SW9
A,now,93,Seasons of England,Greengrocer,Herne Hill,SE24 0HY,292 Milkwood Road,267,51.452,-0.0985,research,Independent greengrocer (est. 1982) — seasonal produce / day's boxes.,http://www.southlondonguide.co.uk/hernehill/finefoodshops.htm,,SE24
A,now,92,The Sicilian Delicatessen,Deli,Herne Hill,SE24 0JN,313 Railton Road,18,51.4529,-0.1022,research,"Indie Sicilian/Italian deli by the station with fresh produce, sauces and counter goods next to Arapina/Sesami cluster — perishable specials fit.",https://thesicilian.com/pages/store-location,,SE24
A,now,92,Lulu's,Deli,Herne Hill,SE24 0JP,291 Railton Road,41,51.4532,-0.1025,research_expansion,"Deli-by-day from the Llewelyn's team; named sandwiches, pastries, Neal's Yard cheeses and house pickles — strong perishable counter specials beside the station.",https://thenudge.com/lulus/,,SE24
A,now,92,Raina Santa Portuguese Foods,Deli,Herne Hill,SE24 0JF,Milkwood Road,41,51.4532,-0.1015,research_expansion,Portuguese deli foods on Milkwood Road arches corridor toward Herne Hill — specialty deli counter on the walkable spine (confirm unit still open).,https://www.allinlondon.co.uk/regions/dulwich/streets/milkwood-road,,SE24
A,now,92,Latin & Caribbean Food Store,Greengrocer,Brixton,SW9 8PR,Brixton Village,57,51.4622,-0.1117,research,Caribbean produce arrivals,brixtonvillage.com,,SW9
A,now,92,Cafe' del Cuore (cafe' of the heart),Deli,Herne Hill,SE24 9JY,"135 Half Moon Ln, London",572,51.4532856,-0.0937643,wave1_pins,Today’s specials / perishable counter,,ChIJtUniX3UEdkgRE6dJFifiUgc,SE24
A,now,92,Gusto Italiano,Deli,Herne Hill,SE24 9JY,135 Half Moon Lane,576,51.4533,-0.0937,research_expansion,"Italian cafe-deli with focaccia, quiches, cheese/meat counter and soup of the day — named daily specials next to Christopher's cluster.",https://localitybiz.co.uk/10033316/gusto-italiano-london,,SE24
A,now,90,Nour Cash & Carry,Greengrocer,Brixton,SW9 8PR,Granville Arcade,41,51.4621,-0.112,research,Long-running Village produce,eatinbrixton,,SW9
A,now,90,The Flower Lady,Florist,Herne Hill,SE24 0JP,297 Railton Road,41,51.4532,-0.1025,research_expansion,Physical shopfront florist by Herne Hill station (Elaine Partleton); same-day stems beside Lulu's — only classic station florist on the Railton spine.,https://www.hernehillsociety.org.uk/history-of-shops/297-railton-road/,,SE24
A,now,90,Salon Delicatessen,Deli,Brixton,SW9 8LB,Market Row,56,51.4619,-0.113,research,Market Row deli specials,eatinbrixton,,SW9
A,now,90,Brothers Green The Florist,Florist,Herne Hill,SE24 9HU,"4-6 Half Moon Ln, London",72,51.4526557,-0.1011126,wave1_pins,"Same-day stems / weekly specials — visual, scarce, collect today",,ChIJazsTkEoFdkgRoSYdM6W04Dk,SE24
A,now,90,My Village Shop,Greengrocer,Brixton,SW9 8HX,Electric Ave & Atlantic Rd,89,51.4628,-0.1135,research,Day's fruit / exotic produce,eatinbrixton,,SW9
A,now,90,Royal Trinity Hospice Brixton,Charity shop,Brixton,SW9 8EQ,494 Brixton Road,169,51.4628,-0.1148,research,Charity fashion/homeware by Brixton station — one-off claimable finds,https://www.royaltrinityhospice.london/brixton,,SW9
A,now,90,Il Sovrano,Deli,Herne Hill,SW2,Tulse Hill / Brixton Water Lane end,500,51.4505,-0.108,research,Italian deli — named sandwiches that sell out,eatinbrixton,,SE24
A,now,90,TRAID Brixton,Charity shop,Brixton,SW2 5SG,2 Acre Lane,776,51.461,-0.1235,research,Fashion-forward charity retail — one-off rail pieces perfect for curated drops,https://traid.org.uk/shop-at-traid/,,SW9
A,now,88,Leona Vintage,Vintage,Brixton,SW9 8PR,Brixton Village,42,51.4623,-0.1119,research,Vintage + flowers/plants one-offs,brixtonvillage.com,,SW9
A,now,88,Champagne + Fromage Brixton,Specialty food,Brixton,SW9 8PR,Brixton Village,48,51.462,-0.112,research,Cheese specialist — limited named cheeses,champagneplusfromage.co.uk,,SW9
A,now,88,Oxfam Herne Hill,Charity shop,Herne Hill,SE24 9HU,20 Half Moon Lane,125,51.4531,-0.1002,research,Charity shop on Half Moon Lane — one-offs next to Brothers Green cluster,local listing — verify still open before outreach,,SE24
A,now,88,Jarr Market,Zero waste,Herne Hill,SE24 9JU,19 Half Moon Lane,139,51.4531,-0.1,research,Zero-waste grocery / seasonal limited,jarrmarket.co.uk,,SE24
A,now,88,Barnardo's Brixton,Charity shop,Brixton,SW9 7AY,406-408 Brixton Road,226,51.4615,-0.1155,research,Charity retail on Brixton Road — curated second-hand drops,local listing,,SW9
A,now,88,British Heart Foundation Brixton Furniture & Electrical,Charity shop,Brixton,SW2 5SP,36-38 Acre Lane,744,51.4609,-0.123,research_expansion,BHF charity furniture/electricals shop on Acre Lane — one-off homeware finds next to TRAID for curated_object drops.,https://www.bhf.org.uk/what-we-do/find-bhf-near-you/brixton-furniture-electrical-store,,SW9
A,now,87,Sloe Vintage,Vintage,Brixton,SW9 8PR,Brixton Village,36,51.4624,-0.112,research,Vintage fashion rail drops,brixtonvillage.com,,SW9
A,now,86,Lark Herne Hill,Vintage,Herne Hill,SE24 0JN,"317 Railton Rd, London",32,51.452752,-0.1017705,wave1_pins,One-off curated pieces,,,SE24
A,now,86,Brixton Bazaar,Specialty food,Brixton,SW9 8LN,437 Coldharbour Lane,33,51.462,-0.1125,research_expansion,"Nour family specialty grocery (ex-Village Cash & Carry) with herbs, beverages and world groceries on Coldharbour Lane corridor — specialty food ICP.",https://www.brixtonbuzz.com/2026/04/nour-cash-carry-in-brixton-village-has-now-permanently-closed-but/,,SW9
A,now,86,Full Moon Designs,Vintage,Brixton,SW9 8PR,"8, Brixton Village, First Avenue, London",38,51.462235500000006,-0.1119549,wave1_pins,One-off curated pieces,,,SW9
A,now,86,Ali Food Store,Specialty food,Brixton,SW9 8PR,"Units 83-84, Granville Arcade, Brixton Village",42,51.4623,-0.1119,research_expansion,"Latin supermarket finds (plantain, pan de muerto, pony malta) — specialty perishable grocery drops in the Village.",https://brixtonvillage.com/trader/ali-food-store/,,SW9
A,now,86,Wish,Vintage,Herne Hill,SE24 0JT,"238 Railton Rd, London",48,51.4525698,-0.1018882,wave1_pins,One-off curated pieces,,,SE24
A,now,86,Circus,Vintage,Brixton,SW9 8PR,Brixton Village,48,51.4623,-0.1118,research,Curated vintage one-offs,brixtonvillage.com,,SW9
A,now,86,Sierra Leone Groceries,Specialty food,Brixton,SW9 8PR,Brixton Village,50,51.4622,-0.1118,research,West African specialty grocery,brixtonvillage.com,,SW9
A,now,86,Diverse,Vintage,Brixton,SW9 8LF,"390 Coldharbour Ln, London",59,51.4617946,-0.11276589999999999,wave1_pins,One-off curated pieces,,,SW9
A,now,86,Rachel & Malika's,Vintage,Brixton,SW9 8PR,"Granville Arcade, Coldharbour Ln, London",60,51.462680299999995,-0.11189579999999999,wave1_pins,One-off curated pieces,,,SW9
A,now,86,Nyame & Bekyare,Specialty food,Brixton,SW9 8LB,"Unit 17, Electric Lane, Brixton Village",68,51.46195,-0.1133,research_expansion,Traditional Afro-Caribbean produce store with international supermarket items rarely found in UK chains — specialty food ICP on market edge.,https://brixtonvillage.com/trader/nyame-bekyare/,,SW9
A,now,86,Brothers Green Vintage,Vintage,Herne Hill,SE24 9HU,"4 Half Moon Ln, London",72,51.452655899999996,-0.1011131,wave1_pins,One-off curated pieces,,,SE24
A,now,86,Lalune London,Vintage,Brixton,SW9 8LB,"Lalune, 24 Market Row, London",75,51.4619448,-0.11341769999999998,wave1_pins,One-off curated pieces,,,SW9
A,now,86,Africa Shopping Centre,Specialty food,Brixton,SW9 8JR,24-26 Electric Avenue,96,51.4626,-0.1138,research_expansion,Electric Avenue African specialty grocery — hard-to-find staples and produce for specialty food drops on the market street.,https://www.allinlondon.co.uk/regions/brixton/streets/electric-avenue,,SW9
A,now,86,Brixton Wholefoods,Specialty food,Brixton,SW9 8PU,59 Atlantic Road,130,51.4614,-0.1113,research_expansion,"Indie wholefoods shop since 1982; bulk grains, herbs, organic staples and hard-to-find health foods — specialty perishable/refill drops on Atlantic Rd spine.",http://www.brixtonwholefoods.com/,,SW9
A,now,85,Quirky Dovetail,Vintage,Brixton,SW2 5TN,61 Acre Lane,612,51.4608,-0.121,research,Upcycled vintage on Acre Lane,quirkydovetail.co.uk,,SW9
A,now,84,Wild + Lees,Wine shop,Herne Hill,SE24 9HU,"2 Half Moon Ln, London",74,51.4526037,-0.1011478,wave1_pins,Limited bottles / weekly specials,,,SE24
A,now,84,Bottle + Rye,Wine shop,Brixton,SW9 8LD,"Ground Floor, 404-406 Market Row, London",77,51.4617467,-0.11316980000000001,wave1_pins,Limited bottles / weekly specials,,,SW9
A,now,84,Ghost Whale,Wine shop,Brixton,SW9 8PX,"70 Atlantic Rd, London",176,51.460936,-0.1112,wave1_pins,Limited bottles / weekly specials,,,SW9
A,now,82,Round Table Books,Book shop,Brixton,SW9 8PR,"Brixton Village, 10-11 Granville Arcade, Coldharbour Ln, London",33,51.4622896,-0.1120188,wave1_pins,Staff picks as drops,,,SW9
A,now,82,Herne Hill Books,Book shop,Herne Hill,SE24 0LY,"289 Railton Rd, London",68,51.453256599999996,-0.102883,wave1_pins,Staff picks as drops,,,SE24
A,now,82,Beautiful Books,Book shop,Brixton,SW9 8PD,"24 Brixton Station Rd, London",121,51.4632139,-0.1134521,wave1_pins,Staff picks as drops,,,SW9
A,now,82,BookMongers,Book shop,Brixton,SW9 8LN,"439 Coldharbour Ln, London",131,51.4614986,-0.1138935,wave1_pins,Staff picks as drops,,,SW9
A,now,82,The Paper Cat Children's Bookshop,Book shop,Herne Hill,SE24 9JU,"25 Half Moon Ln, London",147,51.453076499999995,-0.0998852,wave1_pins,Staff picks as drops,,,SE24
A,now,82,ABLE REBIRTH RECORDS,Book shop,Brixton,SW9 8RR,"0 1, Green Man Court, 229 Coldharbour Ln, London",738,51.465320899999995,-0.1030208,wave1_pins,Staff picks as drops,,,SW9
A,now,82,BHF Brixton Acre Lane,Charity shop,Brixton,SW2 5SP,36-38 Acre Lane,744,51.4609,-0.123,research,Charity homeware/furniture finds,bhf.org.uk,,SW9
B,next,74,Off the Cuff,Cafe,Herne Hill,SE24 0JN,"Arch 645, 301-303 Railton Rd",22,51.4532,-0.102,research,Station-arch cafe with cheeses/specials,offthecuffbar.co.uk,,SE24
B,next,74,Express Cafe,Coffee shop,Brixton,SW9 8LB,"15-17 Market Row, London",62,51.462055899999996,-0.11329679999999999,wave1_pins,Pastry / batch specials as named items,,ChIJAYMKmmgEdkgR8bMfQkwp1UM,SW9
B,next,74,Cafe Rio,Cafe,Brixton,SW9 8PE,"30 Brixton Station Rd, London",93,51.463049299999994,-0.11309840000000002,wave1_pins,Daily special / pastry drop if they plate fresh,,ChIJYZZ0MWYEdkgRnPbmSc_T7dI,SW9
B,next,74,Lala Cafe Brixton,Cafe,Brixton,SW9 8PE,"30 Brixton Station Rd, London",93,51.463049299999994,-0.11309840000000002,wave1_pins,Daily special / pastry drop if they plate fresh,,ChIJ96NMq1oFdkgR1iwCsNI28Vg,SW9
B,next,74,No.61,Coffee shop,Brixton,SW9 8PU,"The Metropolis, 61 Atlantic Rd, London",104,51.461638199999996,-0.11144559999999999,wave1_pins,Pastry / batch specials as named items,,ChIJwXZTXy8FdkgRw9Lqak1DB_0,SW9
B,next,74,Brixtonia,Cafe,Brixton,SW9 8PB,"19 Brixton Station Rd, London",174,51.4638201,-0.1131252,wave1_pins,Daily special / pastry drop if they plate fresh,,ChIJ9WToChgFdkgR_44-0v7T-Uk,SW9
B,next,74,F. Mondays Coffee,Coffee shop,Brixton,SW2 1JG,"436 Coldharbour Ln, London",176,51.4615314,-0.114717,wave1_pins,Pastry / batch specials as named items,,ChIJYT-R-xcFdkgRrmH0y2OONzg,SW2
B,next,74,Sendero Specialty Coffee Brixton,Coffee shop,Brixton,SW9 8HX,"1 Atlantic Rd, London",185,51.46329540000001,-0.11464049999999999,wave1_pins,Pastry / batch specials as named items,,ChIJdRyTKQ0FdkgRQkgiNJ1n388,SW9
B,next,74,PARISSI,Cafe,Brixton,SW9 8PX,"76 Atlantic Rd, London",185,51.4608369,-0.11122430000000001,wave1_pins,Daily special / pastry drop if they plate fresh,,ChIJn3ZmNG8EdkgRPZBvrtj9iZI,SW9
B,next,74,Koala Coffee & Ice Cream,Coffee shop,Brixton,SE24 0LF,"64 Railton Rd, London",475,51.4585182,-0.1093036,wave1_pins,Pastry / batch specials as named items,,ChIJMQkh54IFdkgRtCH3P3FQxBQ,SE24
B,next,72,Cuppo Bubbo,Cafe,Herne Hill,SE24 9LR,167 Herne Hill,0,51.453,-0.102,research_expansion,Indie Herne Hill tea cafe with sit-in space and pastry/cheese-crown options — lighter Tier B near station (prefer bakers/delis first).,https://www.cuppobubbo.co.uk/locations,,SE24
B,next,72,Sesami,Coffee shop,Herne Hill,SE24 0JN,"307 Railton Rd, London",14,51.452880799999996,-0.102056,wave1_pins,Pastry / batch specials as named items,,ChIJ1WQWdlgFdkgRfzf9HS19rsw,SE24
B,next,72,"Perks & White coffee, Herne Hill Station",Coffee shop,Herne Hill,SE24 0JW,"Station Ticket Hall, Herne Hill, Railton Rd, London",18,51.4530992,-0.1022043,wave1_pins,Pastry / batch specials,,,SE24
B,next,72,Goodness! Cafe by Harry's Kitchen,Cafe,Herne Hill,SE24 0EZ,288 Milkwood Road,41,51.4532,-0.1015,research_expansion,Indie cafe in the Herne Hill arches next to Dough/Dugard — plated specials in the densest Herne Hill food pocket.,https://www.allinlondon.co.uk/regions/dulwich/streets/milkwood-road,,SE24
B,next,72,Arcade Coffee & Co,Cafe,Herne Hill,SE24 0HH,Milkwood Road,41,51.4532,-0.1015,research_expansion,Indie cafe on Milkwood Road arches between LJ and Herne Hill — Tier B coffee with food on the corridor spine.,https://www.allinlondon.co.uk/regions/dulwich/streets/milkwood-road,,SE24
B,next,72,Oracles Juice Bar,Cafe,Brixton,SW9 8PR,"Unit 90, Granville Arcade, Brixton Village",42,51.4623,-0.1119,research_expansion,"Long-running Village vegan juice/cafe with sandwiches, raw cakes and named liquid meals — Tier B daily specials in the arcade.",https://brixtonvillage.com/trader/oracles-juice-bar/,,SW9
B,next,72,Macatia and Coffee,Coffee shop,Herne Hill,SE24 9JU,"1A Half Moon Ln, London",56,51.4525869,-0.10154439999999999,wave1_pins,Pastry / batch specials as named items,,ChIJOaTXQzYFdkgRoxXKaqVQCH8,SE24
B,next,72,Healthy Eaters,Cafe,Brixton,SW9 8LD,"Market Row, Brixton Village",73,51.46195,-0.1134,research_expansion,Long-standing Jamaican Market Row cafe (20+ years) with named daily Caribbean plates — Tier B specials in the densest food block.,https://brixtonvillage.com/market-row/,,SW9
B,next,72,Mino Pottery Painting & Cafe,Cafe,Herne Hill,SE24 9HU,16 Half Moon Lane,77,51.4527,-0.101,research_expansion,Pottery cafe with speciality coffee and sweet treats beside Brothers Green/Oxfam — Tier B only if food partners thin; not primary ICP.,https://minopotterypainting.co.uk/contact/,,SE24
B,next,72,The Parlour,Cafe,Herne Hill,SE24 9AA,19 Norwood Road,89,51.4535,-0.101,research_expansion,"Indie cafe with daily-changing Buddha bowls/stews, homemade cakes and named breakfast plates — strong Tier B named-specials fit.",https://www.brixtonbuzz.com/2017/02/the-parlour-on-norwood-road-a-great-new-coffee-shop-for-herne-hill-south-london/,,SE24
B,next,72,Steve's Cafe,Cafe,Herne Hill,SE24 9AA,71 Norwood Road,89,51.4535,-0.101,research_expansion,Traditional independent cafe on Norwood Road (open early) with dine-in/takeaway plates — Tier B neighbourhood specials by the station.,http://www.southlondonguide.co.uk/hernehill/norwoodroad.htm,,SE24
B,next,72,Elsewhere Coffee,Cafe,Herne Hill,SE24 9JU,1A Half Moon Lane,139,51.4531,-0.1,research_expansion,"Indie brew bar under the railway bridge; own-roasted coffee with pastries, cakes and snacks — Tier B cafe with plated bakery specials.",http://www.southlondonguide.co.uk/hernehill/halfmoonlane.htm,,SE24
B,next,72,Flo's,Coffee shop,Herne Hill,SE24 9JU,"23 Half Moon Ln, London",145,51.4530976,-0.09992,wave1_pins,Pastry / batch specials as named items,,ChIJiR62zSYFdkgR0pIMP_uzh5c,SE24
B,next,72,Railton Lounge,Coffee shop,Herne Hill,SE24 0JX,"126 Railton Rd, London",368,51.455655199999995,-0.1051583,wave1_pins,Pastry / batch specials as named items,,ChIJuc7P7JMFdkgRsy0UqO0RtW0,SE24
B,next,72,Sam's Cafe,Cafe,Brixton,SW2 5TN,85 Acre Lane,713,51.4608,-0.1225,research_expansion,Independent Acre Lane cafe with wall-menu breakfast/lunch and a daily special — classic Tier B named plate drops near TRAID/BHF.,https://eatinbrixton.com/2019/05/09/sams-cafe/,,SW9
B,next,72,The Travel Caffé,Coffee shop,Brixton,SW9 8SD,"228 Coldharbour Ln, London",736,51.465641999999995,-0.10333729999999999,wave1_pins,Pastry / batch specials,,,SW9
B,next,72,Four Boroughs - Coldharbour Works,Coffee shop,Brixton,SW9 8RR,"Four Boroughs, Coldharbour Works, 245a Coldharbour Ln, London",750,51.46474,-0.10240669999999999,wave1_pins,Pastry / batch specials,,,SW9
B,next,72,LJ Grind,Cafe,Brixton,SW9 8SA,"204 Coldharbour Ln, London",862,51.4662545,-0.1017893,wave1_pins,Daily special,,,SW9
B,next,72,Viv’s Coffee,Coffee shop,Brixton,SE5 9QH,"198 Coldharbour Ln, London",906,51.466487799999996,-0.1012879,wave1_pins,Pastry / batch specials,,,SW9
