cluster,mechanic,track,name,address,postcode,street,website,phone,email,email_alt,email_quality,already_contacted,type,rating,reviews,note,placeId,googleMapsUri
Crystal Palace,empty_chair,empty_chair,Sharp crystal,"Greystoke House, 21 Westow St, London",SE19 3RY,Westow St,https://sharpcrystal.co.uk/,+44 20 4619 9933,,,none,no,Barber shop,5,108,,ChIJ9aQPXAABdkgR0KVJTqTSlS0,https://maps.google.com/?cid=3284763106366563792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Skintouch,"77 Church Rd, London",SE19 2TA,Church Rd,http://www.skintouch.london/,+44 20 8771 5062,,,none,no,Skin care clinic,4.9,170,,ChIJH51un0UBdkgR8-5mcTHvdKM,https://maps.google.com/?cid=11778301921115696883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,V brows & beauty lounge,"18 Church Rd, London",SE19 2ET,Church Rd,https://www.vbrowsandbeauty.com/,+44 20 8616 2460,vbrowsbeauty@gmail.com,,ok,no,Beauty salon,4.8,220,,ChIJf7vTEwMBdkgRuoBNtSndGJs,https://maps.google.com/?cid=11175925646525038778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Way Ahead London,"41-43 Westow St, London",SE19 3RW,Westow St,,+44 20 8653 7342,,,no_website,no,Hair salon,4.1,117,,ChIJzxnMhk8BdkgRUFBdhMz0TWw,https://maps.google.com/?cid=7804162888534151248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Wellness & Laser Centre - Crystal Palace,"64 Church Rd, London",SE19 2EZ,Church Rd,http://www.wellnesslasercentre.com/,+44 20 3633 8522,info@bellevousspa.com,info@bellevousspa.com,ok,no,Spa,4.5,227,,ChIJyVKQnUUBdkgR1PaL64JcZBY,https://maps.google.com/?cid=1613516283872802516&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Your Style Hair & Tanning Boutique,"75 Westow Hill, London",SE19 1TX,Westow Hill,https://www.yourstylehairandtanning.co.uk/,+44 20 8670 0055,yourstyle7@yahoo.co.uk,,ok,no,Hair salon,4.9,204,,ChIJqVYyL0UBdkgRZYvDFPM56RQ,https://maps.google.com/?cid=1506799266520337253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,56 WESTOW,"56 Westow Hill, London",SE19 1RX,Westow Hill,https://www.56westow.com/,+44 7354 847991,hello@56westow.com,,ok,no,Restaurant,4.4,271,,ChIJS0NFSmUBdkgR5f1C9WEOfJw,https://maps.google.com/?cid=11275903380918304229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Blackbird Bakery Crystal Palace,"59 Westow St, London",SE19 3RW,Westow St,http://www.blackbirdbakerylondon.co.uk/,+44 20 8768 0357,blackbirdbakerylondon@gmail.com,,ok,no,Bakery,4.3,304,,ChIJ5ekShkUBdkgRlGhaGzQkgYc,https://maps.google.com/?cid=9764125273331755156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Bloom café crystalpalace,"70 Westow Hill, London",SE19 1SB,Westow Hill,https://bloomcafecrystalpalace.co.uk/,+44 20 8670 1786,bloom-cafe@hotmail.com,,ok,no,Brunch restaurant,4.2,668,,ChIJHQKETQEBdkgRu8kpWQgPA7c,https://maps.google.com/?cid=13187400662401010107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Brown & Green London,"99 Church Rd, London",SE19 2PR,Church Rd,http://brownandgreencafe.com/,+44 20 8653 3799,brownandgreen@outlook.com,,ok,no,Cafe,4.3,640,,ChIJYxkzkEUBdkgRBa4cmtq2L8s,https://maps.google.com/?cid=14641121963609468421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Chabela,"61 Westow St, London",SE19 3RW,Westow St,http://www.chabela.co.uk/,+44 20 8771 4078,info@chabela.co.uk,,ok,no,Mexican restaurant,4.8,672,,ChIJNdHjf08BdkgRaS2dOetmz6w,https://maps.google.com/?cid=12452284655172660585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Champagne + Fromage Crystal Palace,"1 Westow St, London",SE19 3RY,Westow St,https://champagneplusfromage.co.uk/crystal-palace/,+44 20 8075 9405,stefano.frigerio@champagneplusfromage.co.uk,,ok,no,Restaurant,4.9,54,,ChIJR3dDp2QBdkgRgqEaT7E6_Ks,https://maps.google.com/?cid=12392844807827530114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Etude Coffee - London,"87 Church Rd, London",SE19 2TA,Church Rd,http://etude.coffee/,+44 1603 804545,hello@etude.coffee,,ok,no,Cafe,4.9,107,,ChIJkcP6FN4BdkgRiGNFASN5qyA,https://maps.google.com/?cid=2354108421483357064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Four Boroughs,"10 Church Rd, London",SE19 2ET,Church Rd,http://www.fourboroughs.co.uk/,,hello@fourboroughs.co.uk,,ok,no,Coffee shop,4.7,418,,ChIJg7tVJ0UBdkgRomWuai-QYvY,https://maps.google.com/?cid=17753911214375593378&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Four Hundred Rabbits: Pizza Restaurant Crystal Palace,"30-32 Westow St, London",SE19 3AH,Westow St,https://www.400rabbits.co.uk/crystalpalace,+44 20 8771 6249,info@400rabbits.co.uk,ammarah@400rabbits.co.uk,ok,no,Pizza restaurant,4.4,983,,ChIJnQnY7E8BdkgRfBKzZDePdrk,https://maps.google.com/?cid=13364026412343956092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,GAIL's Bakery Crystal Palace,"58-60 Westow Hill, London",SE19 1RX,Westow Hill,https://gails.com/pages/crystal-palace,+44 20 4546 8196,marketing@gailsbread.co.uk,recruitment@gailsbread.co.uk,chain_hq,no,Bakery,3.4,86,,ChIJL2JCMRMBdkgRzhtYLSOLcuw,https://maps.google.com/?cid=17037833323496872910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,HopScotch Taprooms,"54 Westow Hill, London",SE19 1RX,Westow Hill,https://www.hopscotchtap.com/,+44 7394 072189,matt@hopscotchtap.com,hopscotchtaprooms@gmail.com,ok,no,Cafe,4.7,73,,ChIJDbAmZwABdkgRnNaReu18bHo,https://maps.google.com/?cid=8821563129517430428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,"Ivy and the Wolf – Plants, Coffee & Nice Things","Ivy and the Wolf, 61 Westow Hill, London",SE19 1TS,Westow Hill,http://www.ivyandthewolf.com/,,info@ivyandthewolf.com,,ok,no,Cafe,4.9,290,,ChIJi_hA_Uun2EcRAmzFw7QD4Jk,https://maps.google.com/?cid=11087866357499653122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Kamari The Authentic Greek,"Foresters hall, 25 Westow St, London",SE19 3RY,Westow St,http://www.kamari.london/,+44 7949 195459,info@elia.london,,ok,no,Coffee shop,4.8,194,,ChIJk1mtJWEBdkgRFR9IdsSsLBk,https://maps.google.com/?cid=1814014709721472789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,La Bruschetta,"52 Westow St, London",SE19 3AF,Westow St,,+44 20 8771 7478,,,no_website,no,Cafe,4.6,383,,ChIJ780MhU8BdkgR_NVZoOqSVmQ,https://maps.google.com/?cid=7230127788200154620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Little Palace London,"49 Westow Hill, London",SE19 1TS,Westow Hill,,+44 20 8670 0123,,,no_website,no,Cafe,4.5,174,,ChIJebxmT0UBdkgRMxDEitXale0,https://maps.google.com/?cid=17119830169209802803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Lorenzo of Crystal Palace,"Burapa Thai Restaurant, 73 Westow Hill, London",SE19 1TX,Westow Hill,http://www.lorenzo.uk.com/,+44 20 8761 7485,lorenzocp@hotmail.co.uk,bookings@lorenzo.uk.com,ok,no,Italian restaurant,4.5,899,,ChIJK_q5KEUBdkgRTFdOUE0kXQ4,https://maps.google.com/?cid=1035023403843475276&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Palazzo,"3-6 Church Rd, London",SE19 2TF,Church Rd,https://www.barpalazzo.com/,+44 20 3903 7164,info@barpalazzo.com,info@madeofdough.co.uk,ok,no,Italian restaurant,4.4,649,,ChIJL7duNzUBdkgR3SZpPs4f230,https://maps.google.com/?cid=9068877245311428317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Phoenician,"48 Westow Hill, London",SE19 1RX,Westow Hill,http://phoeniciantaste.co.uk/,,,,none,no,Restaurant,5,8,,ChIJc8OvHAABdkgR1XSwQzDJ3ds,https://maps.google.com/?cid=15843040273290523861&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Roasted Bean,"23 Westow St, London",SE19 3RY,Westow St,,+44 7444 191632,,,no_website,no,Cafe,4.6,363,,ChIJFXnYjU8BdkgRmnkfhoB33LM,https://maps.google.com/?cid=12960365221555173786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Softplay by Coffee Cup House,"Libero Court, 18 Westow St, London",SE19 3RX,Westow St,https://softplaybycch.as.me/,+44 20 3435 8112,,,none,no,Coffee shop,4.6,41,,ChIJK0F1B3ABdkgR87qUwxb72DQ,https://maps.google.com/?cid=3808069560130910963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Spinach Crystal Palace,"Burapa Thai Restaurant, 69 - 71 Westow Hill, London",SE19 1TX,Westow Hill,http://spinach.london/spinachcrystalpalace,+44 20 3089 9571,,,none,no,Restaurant,4.4,246,,ChIJW15PNNsBdkgRzLoAofdDd5c,https://maps.google.com/?cid=10914266952792849100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Taro Crystal Palace,"107 Church Rd, London",SE19 2PR,Church Rd,https://tarorestaurants.uk/,+44 20 3859 2875,,,none,no,Restaurant,4.6,60,,ChIJG2pYURQBdkgR7j3-xdFYakQ,https://maps.google.com/?cid=4929850400103611886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,The Crystal Pantry,"Triangle House, 6 Church Rd, London",SE19 2ET,Church Rd,,+44 20 8653 2791,,,no_website,no,Cafe,4.5,128,,ChIJ67MrIkUBdkgRhhope-oL5gY,https://maps.google.com/?cid=497097910587562630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,The Fino,"23 Westow Hill, London",SE19 1TQ,Westow Hill,http://www.thefino.co.uk/,+44 20 3648 4546,thefino.crystalpalace@gmail.com,,ok,no,Coffee shop,4.8,126,,ChIJjRUiUgABdkgRt6VStvNWVtw,https://maps.google.com/?cid=15876973141077173687&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Yaash Peri Peri,"78 Westow Hill, London",SE19 1SB,Westow Hill,,+44 20 3686 3430,,,no_website,no,Takeout restaurant,4.6,45,,ChIJfSSHpU0BdkgRNXZ64OIlnCc,https://maps.google.com/?cid=2854197920205010485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,Zola's,"Zola's, 28-30 Church Rd, London",SE19 2ET,Church Rd,,,,,no_website,no,Coffee shop,4.7,52,,ChIJiZP-7ZcBdkgRiM0QtVTZoFs,https://maps.google.com/?cid=6602516011563404680&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,end_of_day_food,end_of_day_food,rymcafe,"49 Westow Hill, London",SE19 1TS,Westow Hill,,+44 20 8670 0123,,,no_website,no,Food store,5,241,,ChIJa0Lni78BdkgRdCkuYSXETTo,https://maps.google.com/?cid=4201229692229790068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
