street,street_key,already_contacted,is_chain,has_website,enrich,kind,name,type,category,address,postcode,phone,website,rating,reviews,placeId,googleMapsUri,lat,lng,borough,email
Clapham High Street,clapham_high_street,no,yes,yes,yes,shop,Fireaway Clapham,Pizza restaurant,Food & Drink,"82 Clapham High St, London",SW4 7UL,+44 20 3342 0838,https://fireaway.co.uk/,4.6,587,ChIJF7rG8mYFdkgROnZmKh8SYjY,https://maps.google.com/?cid=3918714550830396986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463516899999995,-0.1337344,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,no,not_a_shop,Clapham Library,Library,Books & Music,"The Library Building, 91 Clapham High St, London",SW4 7DB,+44 20 7926 0717,https://www.lambeth.gov.uk/libraries-0/clapham-library,3.4,121,ChIJYfV3cK0FdkgRcIGJ5CcJpx8,https://maps.google.com/?cid=2280801803229036912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462980699999996,-0.13326350000000003,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Today's Living,Health food store,Sports & Outdoor,"92 Clapham High St, London",SW4 7UL,+44 20 7622 1772,,4.3,38,ChIJ0QkS7lEEdkgRbpnZdRtVRgY,https://maps.google.com/?cid=452142389026986350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463370399999995,-0.1339505,Lambeth,
Clapham High Street,clapham_high_street,no,yes,yes,yes,shop,Headmasters Clapham High Street,Hair salon,Beauty & Wellness,"96 Clapham High St, London",SW4 7UL,+44 345 459 7751,https://www.headmasters.com/find-a-salon/clapham-high-street,4.7,299,ChIJr2s56lEEdkgR28ABdc7Mh4I,https://maps.google.com/?cid=9405711533884948699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4633592,-0.1340761,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,@ Clapham Hair and Beauty,Beauty salon,Beauty & Wellness,"100 Clapham High St, London",SW4 7UL,,http://www.claphamhairandbeauty.com/,4.2,19,ChIJM5NPWOwFdkgRzMKogjcDbt4,https://maps.google.com/?cid=16027751660808356556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4633085,-0.1342406,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Barber's Team,Barber shop,Services & Experiences,"Clapham Hair And Beauty, 100 Clapham High St, London",SW4 7UL,+44 7464 258599,,5,14,ChIJiSKsyGIFdkgR2ooCFaNLeR0,https://maps.google.com/?cid=2123811863086140122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463264099999996,-0.13421529999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Be Styled By Chen,Hair salon,Beauty & Wellness,"100 Clapham High St, London",SW4 7UL,+44 7539 249351,http://www.bestyledbychen.com/,5,16,ChIJbbAoTvAFdkgR2_0bUyl03h8,https://maps.google.com/?cid=2296400580842356187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4633085,-0.1342406,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Beyond The Brush Ldn By Monique,Hair salon,Beauty & Wellness,"100 Clapham High St, London",SW4 7UL,+44 7882 937810,https://www.beyondthebrushldn.com/,5,20,ChIJ4Xsi1hcFdkgRBt5J3EWZPwE,https://maps.google.com/?cid=89959042898320902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4633085,-0.1342406,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,TL Professional - Lashes - Nails - Brows,Beauty salon,Beauty & Wellness,"Hair & Beauty, 100 Clapham High Street @Clapham, London",SW4 7UL,+44 7985 651488,https://www.tlprofessional.com/,4.7,186,ChIJjbSFUogRdkgRJAzEyEEYLOs,https://maps.google.com/?cid=16945946168708566052&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463296199999995,-0.13421929999999999,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Flower Delivery Clapham,point_of_interest,Home & Living,"101 Clapham High St, London",SW4 7TB,+44 20 3965 0213,http://flowerdeliveryclapham.co.uk/,4,3,ChIJAzNg-lEEdkgRVt6QCj7NMQk,https://maps.google.com/?cid=662536286549106262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462971700000004,-0.13428669999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Philip Thomerson Headboards,Furniture store,Home & Living,"101 Clapham High St, London",SW4 7TB,+44 1603 487272,https://www.philipthomersonheadboards.com/,5,1,ChIJEwid5ikFdkgRO21zDLG0i-I,https://maps.google.com/?cid=16324339946845596987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4629463,-0.13429059999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Venus Barbers,Barber shop,Services & Experiences,"105A Clapham High St, London",SW4 7TB,+44 20 7627 1477,https://venusbarbersclapham.co.uk/,4.9,1628,ChIJxQ_1h00EdkgREHYqo7lOgAY,https://maps.google.com/?cid=468460920459916816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462936,-0.134431,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,"Townhouse Nail Salon, Clapham",Beauty salon,Beauty & Wellness,"107 Clapham High St, London",SW4 7TB,+44 20 7947 0100,https://townhouse.co.uk/?utm_content=Townhouse%20Clapham%20-%20London&utm_campaign=london&utm_medium=organic_gbp&utm_source=google&utm_term=plcid_15627691894108802149,4.6,97,ChIJxW9WjLsFdkgR-O_x-IM_Jv4,https://maps.google.com/?cid=18313394770798571512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4628709,-0.1344739,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Minuteman Press Clapham,Services,Books & Music,"109 Clapham High St, London",SW4 7TB,+44 20 7720 8500,http://www.clapham.minutemanpress.co.uk/,4.9,184,ChIJda2l-VEEdkgRe2aWzEmkik0,https://maps.google.com/?cid=5587458924578498171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462875999999994,-0.1345533,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Vapourz Lounge | Vape Shop Clapham High Street,Store,Tech & Gadgets,"110 Clapham High St, London",SW4 7TB,+44 20 3795 7578,https://www.vapourzlounge.co.uk/,5,454,ChIJMR_qPOYFdkgRVIV6w87l58Q,https://maps.google.com/?cid=14188561827259647316&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463138099999995,-0.1347043,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,The Cactus Club,Night club,Services & Experiences,"Two Brewers, 114 Clapham High St, London",SW4 7UJ,,https://thecactusclub.co.uk/,5,8,ChIJE5qCRvgFdkgR1Eh8gK4_E9k,https://maps.google.com/?cid=15641915949500352724&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4630384,-0.1348468,Lambeth,
Clapham High Street,clapham_high_street,no,yes,yes,yes,shop,Snappy Snaps,Services,Services & Experiences,"116 Clapham High St, London",SW4 7UH,+44 20 7622 3335,https://www.snappysnaps.co.uk/claphamhighstreet/,4.5,332,ChIJ_9sXA1IEdkgR3uGxMsw_HU0,https://maps.google.com/?cid=5556667661501456862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4630401,-0.13502619999999999,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Renesa barbers,Barber shop,Services & Experiences,"118 Clapham High St, London",SW4 7UH,+44 20 3011 1178,,5,33,ChIJkwP8HQAFdkgR7zuIqnosv9Q,https://maps.google.com/?cid=15330020561951144943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4630052,-0.135135,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Renewable Barbers,Barber shop,Services & Experiences,"118 Clapham High St, London",SW4 7UH,+44 7477 777177,,,,ChIJDYY4cwAFdkgROgtmntWZ63A,https://maps.google.com/?cid=8136766294539504442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4630052,-0.135135,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,All About Laptops,Services,Tech & Gadgets,"119 Clapham High St, London",SW4 7TB,+44 20 3337 8427,https://www.allaboutrepairs.co.uk/,4.9,106,ChIJu1mdunoFdkgRUweGXjNc6Sc,https://maps.google.com/?cid=2875931212751701843&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4627049,-0.1350761,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,no,not_a_shop,Vera the Diva Ballroom & Latin Dance School,Sports school,Services & Experiences,"121 Clapham High St, London",SW4 7JR,+44 7727 785857,http://www.verathediva.com/,5,56,ChIJSTbbx58GdkgRDm_PpPGAEOk,https://maps.google.com/?cid=16794064785805111054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462569099999996,-0.135062,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,ProFix,Services,Tech & Gadgets,"124 Clapham High St, London",SW4 7UH,+44 20 7720 6183,,4.9,494,ChIJu6r7AWYFdkgRrklWEIjdxsc,https://maps.google.com/?cid=14395436835395750318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462949099999996,-0.1353047,Lambeth,
Clapham High Street,clapham_high_street,yes,no,yes,no,shop,Lark Clapham,Gift shop,Fashion & Apparel,"127 Clapham High St, London",SW4 7SS,+44 20 7627 0482,http://www.larklondon.com/,4.9,208,ChIJa1q3XR4FdkgRu0e-xeipRqo,https://maps.google.com/?cid=12269681052032583611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4624982,-0.1354227,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Clapham Barbers,Barber shop,Beauty & Wellness,"128 Clapham High St, London",SW4 7UH,+44 20 3536 2452,https://www.claphambarbers.co.uk/,4.9,1370,ChIJfXRHBFIEdkgRgFsoDn3Aq1w,https://maps.google.com/?cid=6677642515847863168&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462885,-0.1354011,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Olives + Meze Takeaway,Mediterranean restaurant,Food & Drink,"131 Clapham High St, London",SW4 7SS,+44 20 3583 7790,http://www.olivesandmeze.co.uk/,4.4,791,ChIJM4jpB1IEdkgRsldknr7m0gw,https://maps.google.com/?cid=924054579939923890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462467,-0.13558499999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,KC Nails & Beauty,Nail salon,Beauty & Wellness,"138 Clapham High St, London",SW4 7UH,+44 20 7627 3211,,4.7,373,ChIJcUz1OQcFdkgRNLkVCUBKzP0,https://maps.google.com/?cid=18288073825735522612&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4628127,-0.1356906,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Infernos Nightclub,Night club,Books & Music,"146 Clapham High St, London",SW4 7UH,+44 20 7720 7633,http://www.infernos.co.uk/,4.1,1185,ChIJkX63D1IEdkgReGGWJjZL-mU,https://maps.google.com/?cid=7348268437956092280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.46275370000001,-0.1359428,Lambeth,
Clapham High Street,clapham_high_street,yes,no,yes,no,shop,Reformer Pilates in Clapham - Mojo Studios,Fitness center,Services & Experiences,"149A Clapham High St, London",SW4 7SS,+44 7414 775017,https://www.mojostudios.co.uk/,4.4,162,ChIJy9CdW1IEdkgReBMmQl5FUN0,https://maps.google.com/?cid=15947322551657960312&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462246,-0.13634559999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Danugur Clapham/Stockwell,Skin care clinic,Beauty & Wellness,"Light Centre, 151-153 Clapham High St, London",SW4 7SS,+44 7552 827154,https://www.danugur.co.uk/,3.7,3,ChIJn4e12SgFdkgRtQ7qidPNxj8,https://maps.google.com/?cid=4595586778213781173&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4621849,-0.1364647,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Tonkotsu Clapham,Restaurant,Food & Drink,"153 Clapham High St, London",SW4 7SS,+44 20 3475 2692,https://tonkotsu.co.uk/locations/clapham/?keyword?utm_source=google,4.8,621,ChIJ_8cEL6AFdkgRd3c0BNuHt-I,https://maps.google.com/?cid=16336675548047898487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462185899999994,-0.1365298,Lambeth,
Clapham High Street,clapham_high_street,no,yes,yes,yes,shop,Black Sheep Coffee,Food store,Food & Drink,"155-157 Clapham High St, London",SW4 7SS,+44 20 3988 6994,https://blacksheepcoffee.co.uk/blogs/locations/clapham-high-street,4.9,49,ChIJNfdMJXYFdkgRQqo3OihK-Ac,https://maps.google.com/?cid=574290489125612098&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4621608,-0.1366172,Lambeth,
Clapham High Street,clapham_high_street,yes,yes,yes,no,shop,Tapi Carpets & Floors,Building materials store,Home & Living,"Clapham Common Clinic, 168-170 Clapham High St, London",SW4 7UG,+44 20 3978 7290,https://www.tapi.co.uk/stores/clapham-common?utm_source=google&utm_medium=organic&utm_content=clapham-common&utm_campaign=g+business,3.9,188,ChIJvZIpiE0EdkgRL4unbY58wks,https://maps.google.com/?cid=5459062649493359407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462431200000005,-0.136961,Lambeth,
Clapham High Street,clapham_high_street,no,yes,yes,yes,shop,Wingstop Clapham,Chicken wings restaurant,Food & Drink,"169 Clapham High St, London",SW4 7SS,+44 20 3603 2782,https://www.wingstop.co.uk/?y_source=1_MTA0NTA2NDA0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.7,1142,ChIJE34OxkMFdkgRlWsdheGKvTs,https://maps.google.com/?cid=4304749520041634709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462095299999994,-0.1372441,Lambeth,
Clapham High Street,clapham_high_street,no,yes,yes,yes,shop,Simply Fresh,Convenience store,Home & Living,"192-194 Clapham High St, London",SW4 7UD,,http://svretail.co.uk/,3.3,22,ChIJMTdam4MFdkgRx50EdHI5NYw,https://maps.google.com/?cid=10103044502811090375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.462196899999995,-0.13790239999999998,Lambeth,
