cluster,mechanic,track,name,address,postcode,street,type,phone,website,google_maps,email,notes
Crystal Palace,empty_chair,empty_chair,MAKAS BARBERS SHOP,"Triangle House, 86a Westow Hill, London",SE19 1SB,Westow Hill,Barber shop,,,https://maps.google.com/?cid=18242056841367652447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,empty_chair,empty_chair,Palace Barber Shop,"62 Westow Hill, London",SE19 1RX,Westow Hill,Barber shop,+44 20 8761 5835,,https://maps.google.com/?cid=4389550838657718362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,empty_chair,empty_chair,Sharp crystal,"Greystoke House, 21 Westow St, London",SE19 3RY,Westow St,Barber shop,+44 20 4619 9933,https://sharpcrystal.co.uk/,https://maps.google.com/?cid=3284763106366563792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,empty_chair,empty_chair,Skintouch,"77 Church Rd, London",SE19 2TA,Church Rd,Skin care clinic,+44 20 8771 5062,http://www.skintouch.london/,https://maps.google.com/?cid=11778301921115696883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,empty_chair,empty_chair,Way Ahead London,"41-43 Westow St, London",SE19 3RW,Westow St,Hair salon,+44 20 8653 7342,,https://maps.google.com/?cid=7804162888534151248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,end_of_day_food,end_of_day_food,Bloom café crystalpalace,"70 Westow Hill, London",SE19 1SB,Westow Hill,Brunch restaurant,+44 20 8670 1786,https://bloomcafecrystalpalace.co.uk/,https://maps.google.com/?cid=13187400662401010107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,end_of_day_food,end_of_day_food,Etude Coffee - London,"87 Church Rd, London",SE19 2TA,Church Rd,Cafe,+44 1603 804545,http://etude.coffee/,https://maps.google.com/?cid=2354108421483357064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,end_of_day_food,end_of_day_food,Kamari The Authentic Greek,"Foresters hall, 25 Westow St, London",SE19 3RY,Westow St,Coffee shop,+44 7949 195459,http://www.kamari.london/,https://maps.google.com/?cid=1814014709721472789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,end_of_day_food,end_of_day_food,La Bruschetta,"52 Westow St, London",SE19 3AF,Westow St,Cafe,+44 20 8771 7478,,https://maps.google.com/?cid=7230127788200154620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,end_of_day_food,end_of_day_food,Little Palace London,"49 Westow Hill, London",SE19 1TS,Westow Hill,Cafe,+44 20 8670 0123,,https://maps.google.com/?cid=17119830169209802803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,end_of_day_food,end_of_day_food,Phoenician,"48 Westow Hill, London",SE19 1RX,Westow Hill,Restaurant,,http://phoeniciantaste.co.uk/,https://maps.google.com/?cid=15843040273290523861&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,end_of_day_food,end_of_day_food,Roasted Bean,"23 Westow St, London",SE19 3RY,Westow St,Cafe,+44 7444 191632,,https://maps.google.com/?cid=12960365221555173786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,end_of_day_food,end_of_day_food,Softplay by Coffee Cup House,"Libero Court, 18 Westow St, London",SE19 3RX,Westow St,Coffee shop,+44 20 3435 8112,https://softplaybycch.as.me/,https://maps.google.com/?cid=3808069560130910963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,end_of_day_food,end_of_day_food,Spinach Crystal Palace,"Burapa Thai Restaurant, 69 - 71 Westow Hill, London",SE19 1TX,Westow Hill,Restaurant,+44 20 3089 9571,http://spinach.london/spinachcrystalpalace,https://maps.google.com/?cid=10914266952792849100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,end_of_day_food,end_of_day_food,Taro Crystal Palace,"107 Church Rd, London",SE19 2PR,Church Rd,Restaurant,+44 20 3859 2875,https://tarorestaurants.uk/,https://maps.google.com/?cid=4929850400103611886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,end_of_day_food,end_of_day_food,The Crystal Pantry,"Triangle House, 6 Church Rd, London",SE19 2ET,Church Rd,Cafe,+44 20 8653 2791,,https://maps.google.com/?cid=497097910587562630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,end_of_day_food,end_of_day_food,Yaash Peri Peri,"78 Westow Hill, London",SE19 1SB,Westow Hill,Takeout restaurant,+44 20 3686 3430,,https://maps.google.com/?cid=2854197920205010485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,end_of_day_food,end_of_day_food,Zola's,"Zola's, 28-30 Church Rd, London",SE19 2ET,Church Rd,Coffee shop,,,https://maps.google.com/?cid=6602516011563404680&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,end_of_day_food,end_of_day_food,rymcafe,"49 Westow Hill, London",SE19 1TS,Westow Hill,Food store,+44 20 8670 0123,,https://maps.google.com/?cid=4201229692229790068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Herne Hill,curated_object,fashion,Wish,"238 Railton Rd, London",SE24 0JT,Railton Rd,Gift shop,+44 7949 298956,,https://maps.google.com/?cid=11555993085082610169&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Herne Hill,empty_chair,empty_chair,Aitch SE24,"22 Half Moon Ln, London",SE24 9HU,Half Moon Ln,Hair salon,+44 20 7733 5649,https://www.aitch.london/,https://maps.google.com/?cid=1228097108569563060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Herne Hill,empty_chair,empty_chair,Glistering Nails,"21 Half Moon Ln, London",SE24 9JU,Half Moon Ln,Nail salon,+44 20 7733 1361,,https://maps.google.com/?cid=856266131672435521&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Herne Hill,end_of_day_food,end_of_day_food,Cafe' del Cuore (cafe' of the heart),"135 Half Moon Ln, London",SE24 9JY,Half Moon Ln,Deli,+44 20 8166 6205,,https://maps.google.com/?cid=527732763861296915&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Herne Hill,end_of_day_food,end_of_day_food,Flo's,"23 Half Moon Ln, London",SE24 9JU,Half Moon Ln,Coffee shop,,,https://maps.google.com/?cid=10918893713259008722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Herne Hill,end_of_day_food,end_of_day_food,Herne Hill Foods,"240 Railton Rd, London",SE24 0JT,Railton Rd,Restaurant,+44 20 7738 3400,,https://maps.google.com/?cid=183018873576433583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Herne Hill,end_of_day_food,end_of_day_food,Maureen's Brixton Kitchen,"52 Railton Rd, London",SE24 0LF,Railton Rd,Restaurant,+44 7940 382501,https://www.instagram.com/maureensbrixtonkitchen,https://maps.google.com/?cid=16819662819322173819&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Herne Hill,end_of_day_food,end_of_day_food,Railton Lounge,"126 Railton Rd, London",SE24 0JX,Railton Rd,Coffee shop,+44 7398 865020,,https://maps.google.com/?cid=7905244433343589811&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,403 Barber Lane Brixton,"403 Coldharbour Ln, London",SW9 8LQ,Coldharbour Ln,Barber shop,+44 7894 657172,https://www.403barberlane.com/,https://maps.google.com/?cid=16062481991867213629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,empty_chair,empty_chair,Amy's Beauty Salon,"15 Brixton Station Rd, London",SW9 8PB,Brixton Station Rd,Beauty salon,+44 7515 110700,,https://maps.google.com/?cid=9198201687016962753&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,André Pierre,"393 Coldharbour Ln, London",SW9 8LQ,Coldharbour Ln,Hair salon,+44 7593 001733,http://www.andre-pierre.com/,https://maps.google.com/?cid=17225270891360938281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,empty_chair,empty_chair,Astelle Beauty Palace,"16 Brixton Station Rd, London",SW9 7PD,Brixton Station Rd,Beauty salon,+44 7427 406232,https://sites.google.com/view/astellebeautypalace/,https://maps.google.com/?cid=12752741938960252537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,empty_chair,empty_chair,Brow & Bliss,"Inside Andre Pierre, 393 Coldharbour Ln, London",SW9 8LQ,Coldharbour Ln,Beauty salon,+44 7404 187235,,https://maps.google.com/?cid=8989687758359690159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,Crown and Glory Barbers,"10 Coldharbour Ln, London",SE5 9PR,Coldharbour Ln,Barber shop,,,https://maps.google.com/?cid=8784836388518358302&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,DC Studio London,"352 Coldharbour Ln, London",SW9 8QH,Coldharbour Ln,Nail salon,+44 7393 172056,https://www.instagram.com/blowstudiobydc?igsh=bjQ5dnZ6NWoweXpz&utm_source=qr,https://maps.google.com/?cid=4516725128026385717&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,empty_chair,empty_chair,Diako Barbershop,"322 Coldharbour Ln, London",SW9 8QH,Coldharbour Ln,Barber shop,+44 20 3771 2348,https://www.instagram.com/d_r_barber_shop?igsh=ZTV4ZW40NGwxaDI%3D&utm_source=qr,https://maps.google.com/?cid=14029176763876798828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,empty_chair,empty_chair,Esu Hair & Beauty Salon,"72 Atlantic Rd, London",SW9 8PX,Atlantic Rd,Beauty salon,+44 20 7733 0629,,https://maps.google.com/?cid=4370682541784931653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,JayJay Barber Shop,"216 Coldharbour Ln, London",SW9 8SA,Coldharbour Ln,Barber shop,+44 20 4529 0383,,https://maps.google.com/?cid=16071306731775396742&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,Klassique Barbers London,"81 Atlantic Rd, London",SW9 8PU,Atlantic Rd,Barber shop,+44 20 7738 6200,,https://maps.google.com/?cid=13831501217861995952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,Luna & Wilde Brixton Biab Nail Salon,"425 Coldharbour Ln, London",SW9 8LH,Coldharbour Ln,Nail salon,+44 20 8616 7898,https://linktr.ee/lunaandwilde,https://maps.google.com/?cid=17114012944883315843&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,empty_chair,empty_chair,NAE2SLAE,"25 Coldharbour Ln, London",SE5 9NR,Coldharbour Ln,Beauty salon,+44 7593 589004,,https://maps.google.com/?cid=12998016564422335491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,Republic Barbershop,"62 Atlantic Rd, London",SW9 8PY,Atlantic Rd,Barber shop,+44 7519 361756,,https://maps.google.com/?cid=9280340233655828218&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,Sirwans Barbers,"Brixton Village, 47 Coldharbour Ln, London",SW9 8PS,Coldharbour Ln,Barber shop,+44 7951 856000,https://gatoreasy.com/sirwans-barbers-zjelgei,https://maps.google.com/?cid=4791983073581881007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,empty_chair,empty_chair,United Cutz Brixton Barber,"30 Atlantic Rd, London",SW9 8JW,Atlantic Rd,Barber shop,+44 20 3793 4316,,https://maps.google.com/?cid=8288478158828525124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,empty_chair,empty_chair,Victoria Beauty & Aesthetics,"214 Coldharbour Ln, London",SW9 8SA,Coldharbour Ln,Beauty salon,,,https://maps.google.com/?cid=7011188083888800089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Atlantic Bakery,"The Metropolis, 67 Atlantic Rd, London",SW9 8PU,Atlantic Rd,Bakery,+44 20 7998 8824,,https://maps.google.com/?cid=15807436109002682324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,BAD BREW INC.,"82, 84 Coldharbour Ln, London",SE5 9PU,Coldharbour Ln,Coffee shop,,,https://maps.google.com/?cid=2475644539960954471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Brixtonia,"19 Brixton Station Rd, London",SW9 8PB,Brixton Station Rd,Cafe,+44 7432 227090,,https://maps.google.com/?cid=5330524725372161791&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,COLIBRI RESTAURANT & BAR,"426 Coldharbour Ln, London",SW9 8LF,Coldharbour Ln,Restaurant,+44 7958 955683,,https://maps.google.com/?cid=6354391160600079697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Cafe Rio,"30 Brixton Station Rd, London",SW9 8PE,Brixton Station Rd,Cafe,+44 20 8765 0533,,https://maps.google.com/?cid=15199037204696856220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Cantinho Mineiro,"Granville Arcade, Coldharbour Ln, London",SW9 8PS,Coldharbour Ln,Restaurant,+44 7988 823743,,https://maps.google.com/?cid=2845206649470614331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Express Cafe,"15-17 Market Row, London",SW9 8LB,Market Row,Coffee shop,+44 20 7978 8515,,https://maps.google.com/?cid=4887858378084168689&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Four Boroughs - Coldharbour Works,"Four Boroughs, Coldharbour Works, 245a Coldharbour Ln, London",SW9 8RR,Coldharbour Ln,Coffee shop,,,https://maps.google.com/?cid=15046783605388431208&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,JOHNNIES,"104, Johnnies Cafe, 106 Coldharbour Ln, London",SE5 9PZ,Coldharbour Ln,Cafe,+44 20 3354 0270,,https://maps.google.com/?cid=12480557595297195418&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Kalandula Brixton,"5 Brixton Station Rd, London",SW9 8PA,Brixton Station Rd,Restaurant,+44 20 7733 8274,https://kalandulabrixton.co.uk/,https://maps.google.com/?cid=10349218743405056145&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,end_of_day_food,end_of_day_food,LJ Grind,"204 Coldharbour Ln, London",SW9 8SA,Coldharbour Ln,Cafe,+44 20 4597 6750,,https://maps.google.com/?cid=4399689866527526411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,La Taberna Del Sabor,"47 Atlantic Rd, London",SW9 8JL,Atlantic Rd,Restaurant,,,https://maps.google.com/?cid=5311497018004588792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Lala Cafe Brixton,"30 Brixton Station Rd, London",SW9 8PE,Brixton Station Rd,Cafe,+44 20 8765 0533,,https://maps.google.com/?cid=6408964023248891094&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,No.61,"The Metropolis, 61 Atlantic Rd, London",SW9 8PU,Atlantic Rd,Coffee shop,+44 20 3581 6250,https://www.instagram.com/no.61brixton/,https://maps.google.com/?cid=18232615616218059459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,end_of_day_food,end_of_day_food,Rock Steady Eddie's London,"2a Coldharbour Ln, London",SE5 9PR,Coldharbour Ln,Cafe,+44 20 7326 0621,,https://maps.google.com/?cid=654780959796382521&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,Sarava Creperie Bar & Cafe,"41-42, Market, Brixton Village, Coldharbour Ln, London",SW9 8PS,Coldharbour Ln,Dessert shop,+44 7909 485431,https://www.instagram.com/saravabrixton/,https://maps.google.com/?cid=717457641744046024&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,end_of_day_food,end_of_day_food,Sendero Specialty Coffee Brixton,"1 Atlantic Rd, London",SW9 8HX,Atlantic Rd,Coffee shop,,http://www.sendero-coffee.com/,https://maps.google.com/?cid=14978804810539747394&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,end_of_day_food,end_of_day_food,Spice & Nice Bakery,"8A Coldharbour Ln, London",SE5 9PR,Coldharbour Ln,Bakery,+44 20 7733 2283,,https://maps.google.com/?cid=16359198211671053884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Brixton Village,end_of_day_food,end_of_day_food,The Travel Caffé,"228 Coldharbour Ln, London",SW9 8SD,Coldharbour Ln,Coffee shop,+44 7932 027488,http://www.thetravelcaffe.uk/,https://maps.google.com/?cid=6991558691093839087&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Brixton Village,end_of_day_food,end_of_day_food,Viv’s Coffee,"198 Coldharbour Ln, London",SE5 9QH,Coldharbour Ln,Coffee shop,,,https://maps.google.com/?cid=12375349436284671568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Clapham Old Town,curated_object,flowers,Birksen,"40 Old Town, London",SW4 0LB,Old Town,Florist,+44 20 7622 6466,http://birksen.com/,https://maps.google.com/?cid=13071399000373752615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Clapham Old Town,empty_chair,empty_chair,Anesis Spa,"14 The Pavement, London",SW4 0HY,The Pavement,Spa,,,https://maps.google.com/?cid=1024032189324255134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Clapham Old Town,empty_chair,empty_chair,Old Town Traditional Barbers,"Sycamore, 8 Old Town, London",SW4 0JY,Old Town,Barber shop,+44 7940 170425,http://oldtowntraditionalbarbers.com/,https://maps.google.com/?cid=15149487572172015272&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Clapham Old Town,end_of_day_food,end_of_day_food,Buddy's Bakery,"M Moen & Sons, 25 The Pavement, London",SW4 0JA,The Pavement,Bakery,+44 7872 317846,https://www.instagram.com/buddys_deli_bakery?igsh=NHRvOHVlandkY2Mz,https://maps.google.com/?cid=1056402409455524767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
