priority,track,email_variant,score,borough,name,type,category,address,postcode,district,phone,website,rating,reviews,placeId,googleMapsUri,why,email
A,flowers,commercial,48,Lambeth,Floritta Flowers,Florist,Home & Living,"Unit 3, The Willows, Parking lot, 80 Willow Walk, London",SE1 5SY,SE1,+44 7458 683130,https://floritta.uk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.6,530,ChIJTxjToWsFdkgR01H4eR-nxzk,https://maps.google.com/?cid=4163480134159454675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,48,Lambeth,Lala Books,Book store,Food & Drink,"4a Grove Ln, London",SE5 8SY,SE5,+44 7367 407904,http://lalabooks.london/,4.8,153,ChIJR61HB_cDdkgRlGVEMGyyQHk,https://maps.google.com/?cid=8737179454834763156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,books,commercial,48,Lambeth,Morocco Bound Bookshop Bermondsey,Book store,Books & Music,"1A Morocco St, London",SE1 3HB,SE1,+44 7415 371654,http://moroccobound.co.uk/,4.6,258,ChIJm2SgzO8DdkgRJ4MEC4ao-ag,https://maps.google.com/?cid=12175948361236775719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,48,Lambeth,The London Flower Shop,Florist,Home & Living,"158 Long Ln, London",SE1 4BS,SE1,+44 20 7407 1666,http://www.thelondonflowershop.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,4.9,439,ChIJTS-39FsDdkgRZu9yQ_-mjRY,https://maps.google.com/?cid=1625138655829094246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,48,Lambeth,The Riverside Bookshop,Book store,Books & Music,"15, Hay's Galleria, Tooley St, London",SE1 2QN,SE1,+44 20 7378 1824,https://riversidebookshop.co.uk/,4.6,215,ChIJr4CyalADdkgRyHSd1HGpTls,https://maps.google.com/?cid=6579382411998360776&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,wine,commercial,46,Lambeth,Bottle + Rye,Wine bar,Food & Drink,"Ground Floor, 404-406 Market Row, London",SW9 8LD,SW9,,http://www.bottleandrye.com/,4.6,149,ChIJ30NQAHAFdkgRyEiuSYFeISI,https://maps.google.com/?cid=2459350780900952264&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,wine,commercial,46,Lambeth,Bottle Apostle | Abbeville Village,Liquor store,Home & Living,"59 Abbeville Rd, London",SW4 9JW,SW4,+44 20 3376 1447,http://www.bottleapostle.com/,4.7,87,ChIJh6fuJksEdkgRp2Jhin__oFo,https://maps.google.com/?cid=6530500382934786727&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,fashion,commercial,46,Lambeth,Brothers Green Vintage,Clothing store,Fashion & Apparel,"4 Half Moon Ln, London",SE24 9HU,SE24,,https://brothersgreenuk.com/,5,11,ChIJMbFoacQFdkgReKzUs9DYqSE,https://maps.google.com/?cid=2425708265197579384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,vintage / boutique,
A,wine,commercial,46,Lambeth,Clapton Craft,Liquor store,Home & Living,"28 Hildreth St, London",SW12 9RQ,SW12,+44 20 3489 5355,http://claptoncraft.co.uk/,4.9,79,ChIJ8Vg_MuQFdkgRU8EleGV8wvQ,https://maps.google.com/?cid=17636795865985565011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,fashion,commercial,46,Lambeth,Goldthread Domas Vintage London,Clothing store,Fashion & Apparel,"11 Fernlea Rd, London",SW12 9RT,SW12,,https://www.goldthreaddomas.com/,5,4,ChIJZ4oPfN8HdkgRh980zX1R0Ew,https://maps.google.com/?cid=5535013542793895815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,vintage / boutique,
A,wine,commercial,46,Lambeth,The Good Drinker,Liquor store,Home & Living,"29 Knights Hill, London",SE27 0HS,SE27,+44 20 8761 4706,http://www.thegooddrinker.co.uk/,4.9,57,ChIJcbDJH6gGdkgRd_pO82yFPLY,https://maps.google.com/?cid=13131517316490525303&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,wine,commercial,46,Lambeth,Urban Cellar,Liquor store,Art & Culture,"48 Church Rd, London",SE19 2ET,SE19,+44 20 3417 8900,https://urbancellar.co.uk/,4.9,72,ChIJlTtoqUARdkgRFZWvG3BZUtc,https://maps.google.com/?cid=15515562004280481045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,wine,commercial,46,Lambeth,Wild + Lees,Liquor store,Art & Culture,"2 Half Moon Ln, London",SE24 9HU,SE24,+44 7985 218570,http://www.wildandlees.com/,4.8,87,ChIJD-64OXMEdkgRC456qxynh8Q,https://maps.google.com/?cid=14161471294867672587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,flowers,commercial,44,Lambeth,Allurie Flowers,Florist,Home & Living,"34 Harper Rd, London",SE1 6AD,SE1,+44 7765 116383,https://allurieflowers.co.uk/,4.9,68,ChIJO6Q89AwDdkgRGk-SJ4oDDn4,https://maps.google.com/?cid=9083201390357139226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,flowers,commercial,44,Lambeth,Bartleys Flowers Limited,Florist,Home & Living,"82 Dulwich Village, London",SE21 7AJ,SE21,+44 20 8693 3048,https://www.bartleysflowers.co.uk/,4.8,68,ChIJcY2_qfMDdkgRZ6tk4S-6gJg,https://maps.google.com/?cid=10988987805591710567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,flowers,commercial,44,Lambeth,Birksen,Florist,Home & Living,"40 Old Town, London",SW4 0LB,SW4,+44 20 7622 6466,http://birksen.com/,4.9,76,ChIJScg6P60FdkgRJ3OstiLwZrU,https://maps.google.com/?cid=13071399000373752615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,44,Lambeth,Bookseller Crow On The Hill,Book store,Home & Living,"50 Westow St, London",SE19 3AF,SE19,+44 20 8771 8831,http://www.booksellercrow.co.uk/,4.7,136,ChIJs_lkhU8BdkgRf-DOG4mUR_w,https://maps.google.com/?cid=18178661737502269567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,44,Lambeth,Brothers Green The Florist,Florist,Home & Living,"4-6 Half Moon Ln, London",SE24 9HU,SE24,+44 7865 172138,http://www.brothersgreenuk.com/,5,46,ChIJazsTkEoFdkgRoSYdM6W04Dk,https://maps.google.com/?cid=4170531876565231265&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,44,Lambeth,Clapham Books,Book store,Home & Living,"26 The Pavement, London",SW4 0JA,SW4,+44 20 7627 2797,http://www.claphambooks.com/,4.8,85,ChIJkT9wA1IEdkgRElrn9RpkPng,https://maps.google.com/?cid=8664472800064920082&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,44,Lambeth,Clapham Flowers,Florist,Home & Living,"Unit E, Clapham South Station, Gateway House, Nightingale Ln, London",SW4 9AE,SW4,+44 20 8673 2958,https://www.claphamflowers.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gbp-homepage,4.4,208,ChIJ_YM227cFdkgR1V-4zWQI5Fw,https://maps.google.com/?cid=6693484175220563925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,44,Lambeth,Dulwich Books Ltd,Book store,Home & Living,"6 Croxted Rd, London",SE21 8SW,SE21,+44 20 8670 1920,http://www.dulwichbooks.co.uk/,4.8,88,ChIJl1mJLPkDdkgR8yKaVRACBPU,https://maps.google.com/?cid=17655238708378084083&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,44,Lambeth,Kansiy Floral,Florist,Home & Living,"Yard, workshop 3, lj works Loughborough 1-7 Gastineau, London",SW9 7FA,SW9,+44 7949 953060,https://www.kansiyfloral.co.uk/,4.9,141,ChIJHWMVpmmklwsRAMdibMi_cq8,https://maps.google.com/?cid=12642377971515180800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,44,Lambeth,Marcus Campbell Art Books,Book store,Books & Music,"Bankside Lofts, 43 Holland St, London",SE1 9JR,SE1,+44 20 7261 0111,http://www.marcuscampbell.co.uk/,4.6,65,ChIJs9CE-64EdkgR8r0n2v3zg4A,https://maps.google.com/?cid=9260513530416184818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,44,Lambeth,Mary Jane Vaughan Designs,Florist,Home & Living,"6G, 5 Havelock Terrace, London",SW8 4AS,SW8,+44 20 7385 8400,http://www.maryjanevaughan.co.uk/,4.8,40,ChIJ06ZOeQEFdkgR6bCVL0nJSYI,https://maps.google.com/?cid=9388256214398644457&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,44,Lambeth,Round Table Books,Book store,Books & Music,"Brixton Village, 10-11 Granville Arcade, Coldharbour Ln, London",SW9 8PR,SW9,+44 20 7274 0030,http://roundtablebooks.co.uk/,4.7,106,ChIJjYfNROgFdkgRU8pS_rm186U,https://maps.google.com/?cid=11958101246039214675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,books,commercial,44,Lambeth,Shalimar Books Ltd,Book store,Home & Living,"Gilmour House, 38 Kennington Ln, London",SE11 4LS,SE11,+44 20 7735 2101,http://www.indianbooksuk.com/,4.7,78,ChIJ86ak05kEdkgRoUkQzpvO0-k,https://maps.google.com/?cid=16849037799495584161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,books,commercial,44,Lambeth,Village Books,Book store,Home & Living,"1D Calton Ave, London",SE21 7DE,SE21,+44 20 8693 2808,http://www.village-books.co.uk/,4.8,110,ChIJ9zxO0fIDdkgRX87Uy9iqEXs,https://maps.google.com/?cid=8868056989378596447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,wine,commercial,43,Lambeth,The Sourcing Table,Wine bar,Art & Culture,"67 Westow Hill, London",SE19 1TS,SE19,+44 20 3551 1005,https://thesourcingtable.com/,4.9,26,ChIJK6gFMEUBdkgRhEH4-iLXSoE,https://maps.google.com/?cid=9316495324408725892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,fashion,commercial,42,Lambeth,Cub & Pudding,Clothing store,Fashion & Apparel,"E301, Parkhall, Parkhall Business Centre, 40 Martell Rd, London",SE21 8HN,SE21,+44 7796 332904,http://www.cubandpudding.com/,5,43,ChIJpRMZ_qcHdkgRwuxqwRL0qBE,https://maps.google.com/?cid=1272535256123763906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent clothing,
A,fashion,commercial,42,Lambeth,D Solos,Clothing store,Fashion & Apparel,"23 Church Rd, London",SE19 2TE,SE19,+44 20 8653 7585,http://www.dsoloclothing.co.uk/,4.9,41,ChIJ4anSDkUBdkgR4Ct0OF52BXE,https://maps.google.com/?cid=8144045648215550944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent clothing,
A,fashion,commercial,42,Lambeth,Full Moon Designs,Jewelry store,Home & Living,"8, Brixton Village, First Avenue, London",SW9 8PR,SW9,+44 7947 485376,http://fullmoondesigns.co.uk/,4.8,53,ChIJZcf8qGgEdkgRriN3xuKHP08,https://maps.google.com/?cid=5710432260591133614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent jewellery,
A,fashion,commercial,42,Lambeth,Lalune London,Jewelry store,Fashion & Apparel,"Lalune, 24 Market Row, London",SW9 8LB,SW9,+44 7511 641910,http://lalunelondon.com/,4.9,53,ChIJy6FSmoup2EcRUYrFLM0dels,https://maps.google.com/?cid=6591613771666786897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent jewellery,
A,fashion,commercial,42,Lambeth,Sam Ubhi,Jewelry store,Fashion & Apparel,"7 Bedford Hill, London",SW12 9ET,SW12,+44 20 8673 4558,http://www.samubhi.com/,4.8,47,ChIJfwKZa88FdkgRvyrYbEbdpXE,https://maps.google.com/?cid=8189194791986670271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent jewellery,
A,fashion,commercial,42,Lambeth,The Tom Shop,Jewelry store,Fashion & Apparel,"117 Streatham High Rd, London",SW16 1HJ,SW16,+44 20 8769 5779,https://www.instagram.com/thetomshop,4.7,56,ChIJvauKvoIGdkgRUTOrHJeU5So,https://maps.google.com/?cid=3091040096001667921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent jewellery,
A,flowers,commercial,41,Lambeth,Allison Petals Stockwell Florist & Events,Florist,Home & Living,"This is a Online Event Flower Store in Clapham North, Jeffreys Rd, London",SW4 6QS,SW4,+44 20 3686 8127,https://allisonpetalsstockwellfloristevents.com/,4.8,29,ChIJAWKlFgcFdkgR2lj4CiZJCS4,https://maps.google.com/?cid=3317263028276713690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,41,Lambeth,Beautiful Books,Book store,Home & Living,"24 Brixton Station Rd, London",SW9 8PD,SW9,+44 20 7738 3302,http://lef-beautifulbooks.co.uk/,4.8,28,ChIJq6qqqmcEdkgR2tfsTEIov5I,https://maps.google.com/?cid=10574214715312756698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,41,Lambeth,Blooms London Bridge,Florist,Home & Living,"109 Borough High St, London",SE1 1NL,SE1,+44 7466 736268,https://www.bloomslondonbridge.co.uk/,4.7,16,ChIJTfJ5iiUDdkgRtfAkUpLVJPw,https://maps.google.com/?cid=18168881621139517621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,41,Lambeth,ChocoLit,Book store,Books & Music,"14 Old Town, London",SW4 0JY,SW4,,http://www.chocolit.co.uk/,4.9,17,ChIJT-aLK68FdkgR2lYolnYe6Dk,https://maps.google.com/?cid=4172618549432964826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,41,Lambeth,KC flowers and events,Florist,Home & Living,"57 Pendle Rd, London",SW16 6RT,SW16,+44 7990 714505,https://www.kcflowerandevents.com/,5,25,ChIJ6ZkzWn4HdkgRa8kv0zBHZik,https://maps.google.com/?cid=2983150078206658923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,41,Lambeth,Presse Books,Book store,Books & Music,"140 Great Dover St, London",SE1 4GW,SE1,,https://pressebooks.forma.org.uk/,5,21,ChIJG9JQw7kDdkgRU4wqhjSmna4,https://maps.google.com/?cid=12582395678462479443&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,books,commercial,41,Lambeth,The Paper Cat Children's Bookshop,Book store,Books & Music,"25 Half Moon Ln, London",SE24 9JU,SE24,+44 20 4568 1309,https://www.papercatbookshop.co.uk/,5,29,ChIJudsopR4FdkgRxoV1IRkEb4I,https://maps.google.com/?cid=9398735453327558086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,41,Lambeth,Vauxhall flowers,Florist,Home & Living,"S Lambeth Rd, London",SW8 1SS,SW8,+44 20 3620 9012,https://wimbledonflowers.com/,4.7,24,ChIJD39k0esFdkgRsXLAHqv8whU,https://maps.google.com/?cid=1568093432163889841&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,40,Lambeth,Herne Hill Books,Book store,Books & Music,"289 Railton Rd, London",SE24 0LY,SE24,+44 20 7998 1673,https://www.claphambooks.com/herne-hill,4.5,42,ChIJCSCpJnMEdkgRLDbrqeB3B5I,https://maps.google.com/?cid=10522510861181597228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,40,Lambeth,Igloo Flowers,Florist,Home & Living,"64 Druid St, London",SE1 2HQ,SE1,+44 7497 190613,http://www.iglooflowers.com/,4.5,78,ChIJl4rMNrcDdkgR1ArE91xy6Ps,https://maps.google.com/?cid=18151884041736162004&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,flowers,commercial,40,Lambeth,Luxe Petals London,Florist,Home & Living,"Stonehills Mansions, 12 Streatham High Rd, London",SW16 1DB,SW16,+44 20 3759 1977,http://www.luxepetalslondon.com/,4.3,82,ChIJO9TEkt8FdkgRJZaFwWSYAKo,https://maps.google.com/?cid=12249958544958658085&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,books,commercial,40,Lambeth,The Calder Bookshop & Theatre,Book store,Books & Music,"51 The Cut, London",SE1 8LF,SE1,+44 20 7620 2900,http://calderbookshop.com/,4.3,84,ChIJuSXHwLoEdkgRNzI7AIo3Wsw,https://maps.google.com/?cid=14725142997490151991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,40,Lambeth,Windmill Flowers,Florist,Home & Living,"4 Windmill Row, London",SE11 5DW,SE11,+44 20 7820 7796,http://www.windmillflowers.co.uk/,4.4,58,ChIJhUTO3ZMEdkgRGIB_kjGaRKI,https://maps.google.com/?cid=11692640070262554648&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,fashion,commercial,39,Lambeth,Design By Crime,Clothing store,Fashion & Apparel,"House (Suite11, Sunnyhill, 3 - 7 Sunnyhill Rd, London",SW16 2UG,SW16,+44 7944 779900,http://designbycrime.com/,5,19,ChIJg_S5dZMGdkgRAV2wNUK95_c,https://maps.google.com/?cid=17863454539054603521&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent clothing,
A,fashion,commercial,39,Lambeth,Pearl rose Jewellers,Jewelry store,Fashion & Apparel,"76 Church Rd, London",SE19 2EZ,SE19,+44 7904 563807,http://pearlrosejewellers.co.uk/,4.8,35,ChIJ7UYvnEUBdkgR8B5h-k4zdvw,https://maps.google.com/?cid=18191784159110831856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent jewellery,
A,books,commercial,38,Lambeth,Bag Books,Association / Organization,Books & Music,"1 Stewart's Court, 218-220 Stewart's Rd, London",SW8 4UB,SW8,+44 20 7627 0444,http://www.bagbooks.org/,4.9,8,ChIJ2dfAjVUEdkgRnJa6eF15T5I,https://maps.google.com/?cid=10542778695062034076&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,books,commercial,38,Lambeth,DoBeDo,Book store,Books & Music,"9, 10 Grace's Mews, London",SE5 8JY,SE5,+44 20 4628 6590,http://www.dobedo.com/,5,3,ChIJ81jWdfsDdkgRsPudQMgQusM,https://maps.google.com/?cid=14103603635327728560&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,flowers,commercial,38,Lambeth,Fiona Fleur,Florist,Home & Living,"Battersea Studios, London",SW8 3HE,SW8,+44 7727 999232,http://www.fionafleur.com/,4.7,12,ChIJJVMyLVoFdkgRzLV_MwBBsoI,https://maps.google.com/?cid=9417661239904941516&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,flowers,commercial,38,Lambeth,Goldstones Flowers,Florist,Home & Living,"Unit 4L, Vanguard Court, 36-38 Peckham Rd, London",SE5 8QT,SE5,,http://www.goldstonesflowers.co.uk/,5,9,ChIJb5rmYrUDdkgRaa8PHzzs8vU,https://maps.google.com/?cid=17722487226619637609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
