cluster,mechanic,track,name,address,postcode,type,channel,write_to,email,email_skipped,instagram,facebook,whatsapp,phone,phone_type,website,google_maps,placeId
Crystal Palace,curated_object,fashion,Tine Bladbjerg,"A L'Etage, 4 Westow Hill, London",SE19 1RX,Jewelry store,email,tinedesign@gmail.com,tinedesign@gmail.com,,,,,+44 20 8761 1868,landline,http://tinebladbjerg.com/,https://maps.google.com/?cid=14578327282316128744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJq6q7708BdkgR6LHWiWyfUMo
Crystal Palace,curated_object,wine,Urban Cellar,"48 Church Rd, London",SE19 2ET,Liquor store,email,info@urbancellar.co.uk,info@urbancellar.co.uk,,https://www.instagram.com/urban_cellar_crystal_palace_,https://www.facebook.com/Urban-Cellar-2130096930536816,,+44 20 3417 8900,landline,https://urbancellar.co.uk/,https://maps.google.com/?cid=15515562004280481045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJlTtoqUARdkgRFZWvG3BZUtc
Crystal Palace,empty_chair,empty_chair,Blue Tit Crystal Palace,"1 Westow Hill, London",SE19 1TQ,Hair salon,email,steve@bluetitlondon.com,steve@bluetitlondon.com,,https://www.instagram.com/bluetitlondon,https://www.facebook.com/bluetitlondon,,+44 20 3474 5288,landline,https://bluetitlondon.com/salons/crystal-palace/,https://maps.google.com/?cid=5847837349042731373&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ23_PNn8BdkgRbTn09RWxJ1E
Crystal Palace,empty_chair,empty_chair,Celine Nails,"Abode London Ltd, 82 Westow Hill, London",SE19 1SB,Nail salon,email,thuyanh732018@gmail.com,thuyanh732018@gmail.com,,,,,+44 20 7998 8450,landline,https://www.celinenailscrystalpalace.co.uk/,https://maps.google.com/?cid=3313207893633763751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ8WworPoBdkgRp4kPbwbh-i0
Crystal Palace,empty_chair,empty_chair,Coral makeovers,"Abode London Ltd, 80 Westow Hill, London",SE19 1SB,Beauty salon,whatsapp,https://wa.me/447466466177,,,,,https://wa.me/447466466177,+44 7466 466177,mobile,,https://maps.google.com/?cid=16716508245411351060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJzcY8P-MBdkgRFMqhbK73_Oc
Crystal Palace,empty_chair,empty_chair,Crystal Nails,"40 Westow Hill, London",SE19 1RX,Nail salon,instagram_dm,https://www.instagram.com/crystal_palace_nails,,,https://www.instagram.com/crystal_palace_nails,,https://wa.me/447448831978,+44 7448 831978,mobile,https://www.instagram.com/crystal_palace_nails/?hl=en-gb,https://maps.google.com/?cid=161435008708798876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJIUJDGVABdkgRnGlm_EiIPQI
Crystal Palace,empty_chair,empty_chair,Damascus barbers,"12 Church Rd, London",SE19 2ET,Barber shop,facebook_dm,https://www.facebook.com/sumup,,shannon.vvrdrd@gmail.com,,https://www.facebook.com/sumup,https://wa.me/447378572243,+44 7378 572243,mobile,http://sumupbookings.com/damascus-barbers-limited,https://maps.google.com/?cid=13707689001913664617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ13Z4tYYBdkgRacSXUoV-O74
Crystal Palace,empty_chair,empty_chair,Elysia Wellness,"Foresters hall, 25-27 Westow St, London",SE19 3RY,Massage service,email,admin@elysiawellness4me.com,admin@elysiawellness4me.com,,,,,+44 20 3916 6787,landline,https://elysiawellness4me.com/,https://maps.google.com/?cid=14815624744171561156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJXS9A1IYBdkgRxGDVUTWsm80
Crystal Palace,empty_chair,empty_chair,GM's Hair Salon,"74 Westow Hill, London",SE19 1SB,Hair salon,email,emergencyhairessentials@gmshair.co.uk,emergencyhairessentials@gmshair.co.uk,,https://www.instagram.com/gmshair,https://www.facebook.com/gmshair,,+44 20 8693 6777,landline,http://www.gmshair.com/,https://maps.google.com/?cid=16477069398484506331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJpzQGJUUBdkgR29YglFFPquQ
Crystal Palace,empty_chair,empty_chair,Hayley Nails spa,"81 Church Rd, London",SE19 2TA,Nail salon,whatsapp,https://wa.me/447446853555,,,,,https://wa.me/447446853555,+44 7446 853555,mobile,http://hayleynails.co.uk/,https://maps.google.com/?cid=10393881577369712573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJH51un0UBdkgRvTeZuDl8PpA
Crystal Palace,empty_chair,empty_chair,Headmasters Crystal Palace,"59 Westow Hill, London",SE19 1TS,Hair salon,facebook_dm,https://www.facebook.com/HeadmastersUK,,marketing@headmasters.com,,https://www.facebook.com/HeadmastersUK,,+44 345 459 7760,landline,https://www.headmasters.com/find-a-salon/crystal-palace/,https://maps.google.com/?cid=5047226221654316423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJA0emKUUBdkgRhxW-2oFZC0Y
Crystal Palace,empty_chair,empty_chair,M&B Barbers,"63 Westow St, London",SE19 3RW,Barber shop,walk_in,https://maps.google.com/?cid=17752915570120791804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,,,+44 20 8653 1599,landline,,https://maps.google.com/?cid=17752915570120791804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJtyJ1gEUBdkgR_BaN7KYGX_Y
Crystal Palace,empty_chair,empty_chair,MAKAS BARBERS SHOP,"Triangle House, 86a Westow Hill, London",SE19 1SB,Barber shop,instagram_dm,https://www.instagram.com/makas.barbers/,,,https://www.instagram.com/makas.barbers/,,,,none,,https://maps.google.com/?cid=18242056841367652447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJJxBtOx8BdkgRXwg08gvOKP0
Crystal Palace,empty_chair,empty_chair,OFF - CUT Crystal Palace,"13 Church Rd, London",SE19 2TF,Barber shop,email,contact@off-cutbarbers.com,contact@off-cutbarbers.com,,https://www.instagram.com/p,https://www.facebook.com/offcutbarbers,,+44 20 8916 1471,landline,https://off-cutbarbers.com/crystal-palace,https://maps.google.com/?cid=552983377206070032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ81ZfcfABdkgREEsQpXOXrAc
Crystal Palace,empty_chair,empty_chair,Palace Barber Shop,"62 Westow Hill, London",SE19 1RX,Barber shop,walk_in,https://maps.google.com/?cid=4389550838657718362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,,,+44 20 8761 5835,landline,,https://maps.google.com/?cid=4389550838657718362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJb1oaOUUBdkgRWhi2HTvR6jw
Crystal Palace,empty_chair,empty_chair,Plaster Beauty,"46 Church Rd, London",SE19 2ET,Beauty salon,email,plasterxaslmm@gmail.com,plasterxaslmm@gmail.com,,https://www.instagram.com/plasterbeauty,https://www.facebook.com/plasterbeauty,https://wa.me/447903380855,+44 7903 380855,mobile,http://www.plasterbeauty.com/,https://maps.google.com/?cid=8136534647213736664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJB1RhEEUBdkgR2ELVBSfH6nA
Crystal Palace,empty_chair,empty_chair,Revitalize Clinic,"Trade Court, 71 Church Rd, London",SE19 2TA,Beauty salon,email,revitalize.mel@hotmail.co.uk,revitalize.mel@hotmail.co.uk,,https://www.instagram.com/revitalize_beauty,https://www.facebook.com/beautyrevitalize,https://wa.me/447549952434,+44 7549 952434,mobile,http://revitalize.london/,https://maps.google.com/?cid=16347850244007955402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJGeAqIkUBdkgRyotgqy473-I
Crystal Palace,empty_chair,empty_chair,Rush Hair Crystal Palace,"22 Westow Hill, London",SE19 1RX,Hair salon,instagram_dm,http://www.instagram.com/OfficialRushHairBeauty,,chris.beaumont13@me.com,http://www.instagram.com/OfficialRushHairBeauty,http://www.facebook.com/rushhairandbeauty,,+44 20 3474 5006,landline,https://www.rush.co.uk/salons/crystal-palace,https://maps.google.com/?cid=12123225500302695992&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJi2we-E8BdkgRON5_ZVxZPqg
Crystal Palace,empty_chair,empty_chair,Sharp crystal,"Greystoke House, 21 Westow St, London",SE19 3RY,Barber shop,instagram_dm,https://www.instagram.com/sharp_crystal24,,,https://www.instagram.com/sharp_crystal24,,,+44 20 4619 9933,landline,https://sharpcrystal.co.uk/,https://maps.google.com/?cid=3284763106366563792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ9aQPXAABdkgR0KVJTqTSlS0
Crystal Palace,empty_chair,empty_chair,Skintouch,"77 Church Rd, London",SE19 2TA,Skin care clinic,instagram_dm,https://www.instagram.com/skintouch.london,,,https://www.instagram.com/skintouch.london,https://www.facebook.com/skintouch.london,,+44 20 8771 5062,landline,http://www.skintouch.london/,https://maps.google.com/?cid=11778301921115696883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJH51un0UBdkgR8-5mcTHvdKM
Crystal Palace,empty_chair,empty_chair,V brows & beauty lounge,"18 Church Rd, London",SE19 2ET,Beauty salon,email,vbrowsbeauty@gmail.com,vbrowsbeauty@gmail.com,,,,,+44 20 8616 2460,landline,https://www.vbrowsandbeauty.com/,https://maps.google.com/?cid=11175925646525038778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJf7vTEwMBdkgRuoBNtSndGJs
Crystal Palace,empty_chair,empty_chair,Way Ahead London,"41-43 Westow St, London",SE19 3RW,Hair salon,facebook_dm,https://www.facebook.com/p/Way-Ahead-100063746884232/,,,,https://www.facebook.com/p/Way-Ahead-100063746884232/,,+44 20 8653 7342,landline,,https://maps.google.com/?cid=7804162888534151248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJzxnMhk8BdkgRUFBdhMz0TWw
Crystal Palace,empty_chair,empty_chair,Wellness & Laser Centre - Crystal Palace,"64 Church Rd, London",SE19 2EZ,Spa,email,info@bellevousspa.com,info@bellevousspa.com,,,,,+44 20 3633 8522,landline,http://www.wellnesslasercentre.com/,https://maps.google.com/?cid=1613516283872802516&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJyVKQnUUBdkgR1PaL64JcZBY
Crystal Palace,empty_chair,empty_chair,Your Style Hair & Tanning Boutique,"75 Westow Hill, London",SE19 1TX,Hair salon,email,yourstyle7@yahoo.co.uk,yourstyle7@yahoo.co.uk,,,,,+44 20 8670 0055,landline,https://www.yourstylehairandtanning.co.uk/,https://maps.google.com/?cid=1506799266520337253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJqVYyL0UBdkgRZYvDFPM56RQ
Crystal Palace,end_of_day_food,end_of_day_food,56 WESTOW,"56 Westow Hill, London",SE19 1RX,Restaurant,email,hello@56westow.com,hello@56westow.com,,https://www.instagram.com/56westow,,https://wa.me/447354847991,+44 7354 847991,mobile,https://www.56westow.com/,https://maps.google.com/?cid=11275903380918304229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJS0NFSmUBdkgR5f1C9WEOfJw
Crystal Palace,end_of_day_food,end_of_day_food,Blackbird Bakery Crystal Palace,"59 Westow St, London",SE19 3RW,Bakery,email,blackbirdbakerylondon@gmail.com,blackbirdbakerylondon@gmail.com,,https://www.instagram.com/blackbirdbakerylondon,https://www.facebook.com/BlackbirdBakeryLondon,,+44 20 8768 0357,landline,http://www.blackbirdbakerylondon.co.uk/,https://maps.google.com/?cid=9764125273331755156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ5ekShkUBdkgRlGhaGzQkgYc
Crystal Palace,end_of_day_food,end_of_day_food,Bloom café crystalpalace,"70 Westow Hill, London",SE19 1SB,Brunch restaurant,email,bloom-cafe@hotmail.com,bloom-cafe@hotmail.com,,https://www.instagram.com/bloomcafe.crystalpalace,https://www.facebook.com/Bloomcafe.crystalpalace,,+44 20 8670 1786,landline,https://bloomcafecrystalpalace.co.uk/,https://maps.google.com/?cid=13187400662401010107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJHQKETQEBdkgRu8kpWQgPA7c
Crystal Palace,end_of_day_food,end_of_day_food,Brown & Green London,"99 Church Rd, London",SE19 2PR,Cafe,email,brownandgreen@outlook.com,brownandgreen@outlook.com,,,https://www.facebook.com/943311439019047,,+44 20 8653 3799,landline,http://brownandgreencafe.com/,https://maps.google.com/?cid=14641121963609468421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJYxkzkEUBdkgRBa4cmtq2L8s
Crystal Palace,end_of_day_food,end_of_day_food,Chabela,"61 Westow St, London",SE19 3RW,Mexican restaurant,email,info@chabela.co.uk,info@chabela.co.uk,,,,,+44 20 8771 4078,landline,http://www.chabela.co.uk/,https://maps.google.com/?cid=12452284655172660585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJNdHjf08BdkgRaS2dOetmz6w
Crystal Palace,end_of_day_food,end_of_day_food,Champagne + Fromage Crystal Palace,"1 Westow St, London",SE19 3RY,Restaurant,email,stefano.frigerio@champagneplusfromage.co.uk,stefano.frigerio@champagneplusfromage.co.uk,,https://www.instagram.com/champfromage,https://www.facebook.com/ChampagneFromageCovent,,+44 20 8075 9405,landline,https://champagneplusfromage.co.uk/crystal-palace/,https://maps.google.com/?cid=12392844807827530114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJR3dDp2QBdkgRgqEaT7E6_Ks
Crystal Palace,end_of_day_food,end_of_day_food,Etude Coffee - London,"87 Church Rd, London",SE19 2TA,Cafe,email,hello@etude.coffee,hello@etude.coffee,,,https://www.facebook.com/etude.coffee,,+44 1603 804545,landline,http://etude.coffee/,https://maps.google.com/?cid=2354108421483357064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJkcP6FN4BdkgRiGNFASN5qyA
Crystal Palace,end_of_day_food,end_of_day_food,Four Boroughs,"10 Church Rd, London",SE19 2ET,Coffee shop,email,hello@fourboroughs.co.uk,hello@fourboroughs.co.uk,,https://www.instagram.com/four_boroughs,https://www.facebook.com/fourboroughs/about,,,none,http://www.fourboroughs.co.uk/,https://maps.google.com/?cid=17753911214375593378&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJg7tVJ0UBdkgRomWuai-QYvY
Crystal Palace,end_of_day_food,end_of_day_food,Four Hundred Rabbits: Pizza Restaurant Crystal Palace,"30-32 Westow St, London",SE19 3AH,Pizza restaurant,email,info@400rabbits.co.uk,info@400rabbits.co.uk,,,https://www.facebook.com/117286199462,,+44 20 8771 6249,landline,https://www.400rabbits.co.uk/crystalpalace,https://maps.google.com/?cid=13364026412343956092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJnQnY7E8BdkgRfBKzZDePdrk
Crystal Palace,end_of_day_food,end_of_day_food,GAIL's Bakery Crystal Palace,"58-60 Westow Hill, London",SE19 1RX,Bakery,walk_in,https://maps.google.com/?cid=17037833323496872910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,marketing@gailsbread.co.uk,,,,+44 20 4546 8196,landline,https://gails.com/pages/crystal-palace,https://maps.google.com/?cid=17037833323496872910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJL2JCMRMBdkgRzhtYLSOLcuw
Crystal Palace,end_of_day_food,end_of_day_food,HopScotch Taprooms,"54 Westow Hill, London",SE19 1RX,Cafe,email,matt@hopscotchtap.com,matt@hopscotchtap.com,,,,https://wa.me/447394072189,+44 7394 072189,mobile,https://www.hopscotchtap.com/,https://maps.google.com/?cid=8821563129517430428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJDbAmZwABdkgRnNaReu18bHo
Crystal Palace,end_of_day_food,end_of_day_food,"Ivy and the Wolf – Plants, Coffee & Nice Things","Ivy and the Wolf, 61 Westow Hill, London",SE19 1TS,Cafe,email,info@ivyandthewolf.com,info@ivyandthewolf.com,,http://instagram.com/plantsfromivyandthewolf,https://facebook.com/plantsfromivyandthewolf,,,none,http://www.ivyandthewolf.com/,https://maps.google.com/?cid=11087866357499653122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJi_hA_Uun2EcRAmzFw7QD4Jk
Crystal Palace,end_of_day_food,end_of_day_food,Kamari The Authentic Greek,"Foresters hall, 25 Westow St, London",SE19 3RY,Coffee shop,email,info@elia.london,info@elia.london,,https://www.instagram.com/eliatheauthenticgreek,https://www.facebook.com/EliaTheAuthenticGreek,https://wa.me/447949195459,+44 7949 195459,mobile,http://www.kamari.london/,https://maps.google.com/?cid=1814014709721472789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJk1mtJWEBdkgRFR9IdsSsLBk
Crystal Palace,end_of_day_food,end_of_day_food,La Bruschetta,"52 Westow St, London",SE19 3AF,Cafe,instagram_dm,https://www.instagram.com/labruschettacp/,,,https://www.instagram.com/labruschettacp/,,,+44 20 8771 7478,landline,,https://maps.google.com/?cid=7230127788200154620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ780MhU8BdkgR_NVZoOqSVmQ
Crystal Palace,end_of_day_food,end_of_day_food,Little Palace London,"49 Westow Hill, London",SE19 1TS,Cafe,walk_in,https://maps.google.com/?cid=17119830169209802803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,,,+44 20 8670 0123,landline,,https://maps.google.com/?cid=17119830169209802803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJebxmT0UBdkgRMxDEitXale0
Crystal Palace,end_of_day_food,end_of_day_food,Lorenzo of Crystal Palace,"Burapa Thai Restaurant, 73 Westow Hill, London",SE19 1TX,Italian restaurant,email,lorenzocp@hotmail.co.uk,lorenzocp@hotmail.co.uk,,,https://www.facebook.com/LorenzoCrystalPalace,,+44 20 8761 7485,landline,http://www.lorenzo.uk.com/,https://maps.google.com/?cid=1035023403843475276&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJK_q5KEUBdkgRTFdOUE0kXQ4
Crystal Palace,end_of_day_food,end_of_day_food,Palazzo,"3-6 Church Rd, London",SE19 2TF,Italian restaurant,email,info@barpalazzo.com,info@barpalazzo.com,,https://www.instagram.com/bar.palazzo,,,+44 20 3903 7164,landline,https://www.barpalazzo.com/,https://maps.google.com/?cid=9068877245311428317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJL7duNzUBdkgR3SZpPs4f230
Crystal Palace,end_of_day_food,end_of_day_food,Phoenician,"48 Westow Hill, London",SE19 1RX,Restaurant,walk_in,https://maps.google.com/?cid=15843040273290523861&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,,,,none,http://phoeniciantaste.co.uk/,https://maps.google.com/?cid=15843040273290523861&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJc8OvHAABdkgR1XSwQzDJ3ds
Crystal Palace,end_of_day_food,end_of_day_food,Roasted Bean,"23 Westow St, London",SE19 3RY,Cafe,whatsapp,https://wa.me/447444191632,,,,,https://wa.me/447444191632,+44 7444 191632,mobile,,https://maps.google.com/?cid=12960365221555173786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJFXnYjU8BdkgRmnkfhoB33LM
