name,contactEmail,category,city,address,postcode,instagramHandle,website,description
FETCH,info@fetchshop.co.uk,Fashion & Apparel,Clapham,"Arch 642, Voltaire Rd",SW4 6DH,,http://www.fetchshop.co.uk/,"Backless Underwear designed to show a little extra skin. Briefs, Boxers and more in many different styles and colours. Worldwide Shipping Available"
Fetish Freak (FF),info@fetishfreak.co.uk,Fashion & Apparel,Camberwell,76 Bolton Cres,SE5 0SE,,http://www.fetishfreak.co.uk/,"Fetish Freak is the UK's number 1 independent fetish store. With both an online store, as well as a retail outlet in Oval, London, wherever you are you can take advantage of our very personalised service."
Hartex,shop@hartexfeelsgood.com,Fashion & Apparel,Southwark,"Unit 9, Gabriels Wharf, 56 Upper Ground",SE1 9PP,hartexgram,http://www.hartexfeelsgood.com/,Privacy Policy
Honour Clothing,,Fashion & Apparel,Southwark,86 Lower Marsh,SE1 7AB,honourclothing,https://www.honourclothing.com/pages/contact,"Discover our ever-expanding collection of wetlook women's dresses and get ready to shine at your next party. Designed to accentuate the female form, these dresses are sure to have all eyes on you."
Indie Bride London,info@indiebridelondon.co.uk,Fashion & Apparel,Brixton,90 Brixton Rd,SW9 6BE,indiebride.london,http://www.indiebridelondon.co.uk/,"Bridal veils, sashes, bows, and jackets handcrafted in London. Find all the bridal accessories you need to finish your effrotless bridal look."
Inmysize.store,dressthrill3@gmail.com,Fashion & Apparel,Kennington,"Flat 19, Kennington Oval",SE11 5BU,,https://www.inmysize.store/,"Plus size fashion clothes for when from great designers.  That cater to the larger size women that wants to feel sexy and look sexy .
Clothes that give a statement that says you look great in that number where did you get it?"
Jeans Corner London,info@jeanscorner.co.uk,Fashion & Apparel,Streatham,89 Streatham High Rd,SW16 1PH,jeanscorner_streatham,http://www.jeanscorner.co.uk/,"Denim specialist the home of Levis, Wrangler ,Lee ,Superdry and many more"
Lark Streatham,hello@larklondon.com,Fashion & Apparel,Streatham,25,SW16 1EX,,http://www.larklondon.com/,"Welcome to Lark! We are a family run independent based mainly in London and our aim is to provide beautiful products for your lifestyle and home. We have been slowly expanding over the last 20 years and now have 19 stores; Balham, Earlsfield, Tooting, Streatham, Herne Hill, Askew Road, Chiswick, Clapham, Fulham, Raynes"
Lowie,info@ilovelowie.com,Fashion & Apparel,Herne Hill,18 Half Moon Ln,SE24 9HU,ilovelowie,http://ilovelowie.com/,"I am super excited to announce that we have partnered with e-bike delivery service Quiver. 🚲  Lowie now offers emission-less delivery in same day, and one hour time slots of your choice, a bit like a Friday night takeaway delivery but for our sustainable clothes and gifts. Stuck for what to wear out or need a gift pron"
NWC,kyla@vinted.co.uk,Fashion & Apparel,Clapham,Stonhouse St,SW4 6BB,,https://www.vinted.co.uk/member/3137718691,"Adanola coffee bean sweatshirt - Worn a few times but still in good condition 
Size small"
Rachel & Malika's,rachelandmalikas@gmail.com,Fashion & Apparel,Brixton,"Granville Arcade, Coldharbour Ln",SW9 8PR,rachelmalikas,http://www.rachelandmalikas.com/,"We stock an assortment of colourful & functional shakers for babies upwards, mostly form Peru"
Skin Two Waterloo (Previously Honour Shop),info@skintwo.com,Fashion & Apparel,Southwark,86 Lower Marsh,SE1 7AB,skintwoglobal,https://www.skintwo.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3DWaterloo%26utm_content%3Dgmb,"Fetish clothing, bondage and sex toys make Skin Two (previously Honour) the place to come to satisfy your deepest desires. Established in 1983."
Sloe Vintage,sloevintageuk@gmail.com,Fashion & Apparel,Brixton,"Unit 38, Brixton Village",SW9 8PR,,http://sloevintage.co.uk/,
Tasha's Chic Boutique,tashaschicboutique@gmail.com,Fashion & Apparel,Brixton,"33-35, Reliance Arcade",SW9 8JZ,,https://www.tashaschicboutique.com/,
The Stock Shop,jane@thestockshop.co.uk,Fashion & Apparel,Southwark,"St Thomas's Hospital, 6, Main Entrance, Lambeth Palace Rd",SE1 7EH,lovestockshop,http://www.thestockshop.co.uk/,"Womenswear & accessories retailer based in hospitals, also offering gift items & homewares."
The Wedding Wardrobe,weddingwardrobewaterloo@gmail.com,Fashion & Apparel,Kennington,4 Kennington Rd,SE1 7BL,,https://www.weddingwardrobewaterloo.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D1340806968993079310,"Read the Terms and Conditions of Waterloo Wedding Wardrobe. Learn about our policies, purchase agreements, return procedures, and more. Ensure a smooth and informed shopping experience with us."
Vendula London - Gabriel's Wharf,,Fashion & Apparel,Southwark,56 Upper Ground,SE1 9PP,vendulalondon,http://www.vendulalondon.com/,"This is the official Vendula London website. Large choice of vintage inspired, unique handbags, quirky purses and fun accessories, all Vegan friendly. Shop now!"
Waistrainer uk,info@waistraineruk.com,Fashion & Apparel,Brixton,"Unit 6, RELIANCE Arcade, 455 Brixton Rd",SW9 8JZ,waistrainer_uk,http://www.waistraineruk.com/,"Hour Glass Stage Two Faja, bespoke designed for bigger hips and smaller waist. Its perfectly designed to provide support for the body after liposuction, BBL, tummy tuck or any other cosmetic procedure.Benefits and Characteristics:- Assists in the process of post-surgical recovery, for reducing inflammation of the tissue and preventing fluid retention.- Contribute to adhering the skin to the muscle tissue stimulating the healing process.- 4 rows of hooks and eyes allows you to alter the size of t"
White Feather Boutique,sheena@whitefeatherboutique.co.uk,Fashion & Apparel,Herne Hill,294 Milkwood Rd,SE24 0EZ,white_feather_boutique,http://www.whitefeatherboutique.co.uk/,"With a passion for creating small pieces of everyday beauty with a touch of Scandinavian simplicity, Pernille Corydon embraces nature and captures shapes that come to life.   Founded in Denmark in 2007 Pernille Corydon believes in giving the wearer the opportunity to express their personality and femininity."
Bella West,,Fashion & Apparel,Brixton,"Granville Arcade, Unit 76 Coldharbour Ln",SW9 8PR,,,
Brixton street wear,,Fashion & Apparel,Brixton,"Brixton Village, Coldharbour Ln",SW9 8PS,,,
Brixton Tights and Hosiery London,,Fashion & Apparel,Brixton,14A Coldharbour Ln,SW9 8LD,,,
Cell Vintage,,Fashion & Apparel,Southwark,9 Belvedere Rd,SE1 8YT,,,
Daisy's boutique,,Fashion & Apparel,Southwark,Charlie Chaplin Walk,SE1 8XR,,,
Deka's Boutique,,Fashion & Apparel,Streatham,310 Streatham High Rd,SW16 6HG,,,
Divine boutique london,,Fashion & Apparel,Southwark,263 Old Kent Rd,SE1 5LU,,,
Elleet,,Fashion & Apparel,Brixton,Brixton Rd,SW9 7AA,,,
Kara,,Fashion & Apparel,Streatham,128 Streatham High Rd,SW16 1BW,,,
Leona,,Fashion & Apparel,Brixton,"Brixton Village, Unit 5 Coldharbour Ln",SW9 8PR,,,
Nazu Cultural Shop,,Fashion & Apparel,Brixton,"Unit 18, 416 Brixton Rd",SW9 7AY,,,
Risky,,Fashion & Apparel,Brixton,510 Brixton Rd,SW9 8EN,,,
Sophia’s Fashion Boutique,,Fashion & Apparel,Camberwell,31 Camberwell Rd,SE5 0EY,,,
TTFN Vintage,,Fashion & Apparel,Camberwell,106-108 Denmark Hill,SE5 8RX,,,
