name,contactEmail,category,city,address,postcode,instagramHandle,website,description,_why,_type,_emails_found
Indie Bride London,info@indiebride.co.uk,Fashion & Apparel,London,90 Brixton Rd,SW9 6BE,indiebride.london,http://www.indiebridelondon.co.uk/,"Bridal veils, sashes, bows, and jackets handcrafted in London. Find all the bridal accessories you need to finish your effrotless bridal look.",pc:SW9,Bridal shop,3
Infinity Motorcycles,david@infinitymotorcycles.com,Fashion & Apparel,London,30-32 Clapham High St,SW4 7UR,,https://www.infinitymotorcycles.com/find-a-store/clapham,Shop HJC RPHA 1 helmets at Infinity Motorcycles. Earn points and get Free UK Delivery on orders over £25. Order before 3pm and get next day delivery. Shop now!,pc+hint:SW4,Motorcycle shop,3
Inmysize.store,support@webador.com,Fashion & Apparel,London,"Flat 19, Kennington Oval",SE11 5BU,,https://www.inmysize.store/,"Plus size fashion clothes for when from great designers.  That cater to the larger size women that wants to feel sexy and look sexy .
Clothes that give a statement that says you look great in that number where did you get it?",pc:SE11,Ladies' Clothes Shop,2
Jeans Corner London,info@jeanscorner.co.uk,Fashion & Apparel,London,89 Streatham High Rd,SW16 1PH,jeanscorner_streatham,http://www.jeanscorner.co.uk/,"Denim specialist the home of Levis, Wrangler ,Lee ,Superdry and many more",pc:SW16,Jeans shop,1
Lark Clapham,hello@larklondon.com,Fashion & Apparel,London,127 Clapham High St,SW4 7SS,,http://www.larklondon.com/,"Welcome to Lark! We are a family run independent based mainly in London and our aim is to provide beautiful products for your lifestyle and home. We have been slowly expanding over the last 20 years and now have 19 stores; Balham, Earlsfield, Tooting, Streatham, Herne Hill, Askew Road, Chiswick, Clapham, Fulham, Raynes",pc+hint:SW4,Gift shop,3
Lark Herne Hill,hello@larklondon.com,Fashion & Apparel,London,317 Railton Rd,SE24 0JN,,https://www.larklondon.com/,"Welcome to Lark! We are a family run independent based mainly in London and our aim is to provide beautiful products for your lifestyle and home. We have been slowly expanding over the last 20 years and now have 19 stores; Balham, Earlsfield, Tooting, Streatham, Herne Hill, Askew Road, Chiswick, Clapham, Fulham, Raynes",pc:SE24,Gift shop,3
Lark Streatham,hello@larklondon.com,Fashion & Apparel,London,25,SW16 1EX,,http://www.larklondon.com/,"Welcome to Lark! We are a family run independent based mainly in London and our aim is to provide beautiful products for your lifestyle and home. We have been slowly expanding over the last 20 years and now have 19 stores; Balham, Earlsfield, Tooting, Streatham, Herne Hill, Askew Road, Chiswick, Clapham, Fulham, Raynes",pc:SW16,Clothing Shop,3
Leyland SDM Clapham High Street | Decorating & DIY,madge@leylandsdm.co.uk,Fashion & Apparel,London,24-28 Clapham High St,SW4 7UR,leylandsdm,https://leylandsdm.co.uk/amlocator/clapham-high-street/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DLPM_google_Clapham,"Established chain providing tools, paint & materials for professional & home decoration.",pc+hint:SW4,DIY Store,3
Lina Stores Clapham - Italian Restaurant,bcannata@locandalocatelli.com,Fashion & Apparel,London,22 The Pavement,SW4 0HY,linastores,https://www.linastores.co.uk/,"Iconic Italian Delicatessen and Pasta Restaurant in Soho, London. We aim to offer our guests the best that Italy has to offer: fresh handmade pasta, cured meats, cheeses, antipasti and other authentic Italian products.",pc+hint:SW4,Italian restaurant,3
London Bride,info@londonbrideuk.com,Fashion & Apparel,London,203 Walworth Rd,SE17 1RL,londonbrideuk,https://londonbrideuk.com/,Small bridal store with designer dresses including an off-the-rail range and an alteration service.,pc:SE17,Bridal shop,1
Lowie,info@ilovelowie.com,Fashion & Apparel,London,18 Half Moon Ln,SE24 9HU,ilovelowie,http://ilovelowie.com/,"I am super excited to announce that we have partnered with e-bike delivery service Quiver. 🚲  Lowie now offers emission-less delivery in same day, and one hour time slots of your choice, a bit like a Friday night takeaway delivery but for our sustainable clothes and gifts. Stuck for what to wear out or need a gift pron",pc:SE24,Ladies' Clothes Shop,3
M&S Foodhall,bcassidy@allstate.com,Fashion & Apparel,London,446 Brixton Rd,SW9 8ED,marksandspencer,https://www.marksandspencer.com/stores/brixton-1025%3Fextid%3Dlocal,"Buy Danish Krone at M&S with zero commission & free collection at over 580 M&S stores, making it quick and easy to exchange pounds to Danish Krone.",pc:SW9,Supermarket,3
M&S Foodhall,bcassidy@allstate.com,Fashion & Apparel,London,"Queen Street, 13-18 Streatham Hill",SW2 4RS,marksandspencer,https://www.marksandspencer.com/stores/streatham-hill-foodhall-2112%3Fextid%3Dlocal,"Buy Danish Krone at M&S with zero commission & free collection at over 580 M&S stores, making it quick and easy to exchange pounds to Danish Krone.",pc:SW2,Supermarket,3
Michael Leigh Menswear,mlmenswearlondon@gmail.com,Fashion & Apparel,London,161 Robert Dashwood Way,SE17 3PZ,,http://michaelleighmenswear.co.uk/,,pc:SE17,Men's Clothes Shop,1
Minuteman Press Clapham,clapham@minutemanpress.com,Fashion & Apparel,London,109 Clapham High St,SW4 7TB,,http://www.clapham.minutemanpress.co.uk/,"Chain with a range of print-related products & services, including business cards & signage.",pc+hint:SW4,Commercial printer,1
Morleys Brixton,lizmcgowan@morleystores.co.uk,Fashion & Apparel,London,472-488 Brixton Rd,SW9 8EH,,https://www.elyswimbledon.co.uk/pages/morleys-brixton,"Department store with 4 floors of fashion, homeware and lifestyle goods, plus a cafe.",pc:SW9,Clothing Shop,3
ODAK,info@odak.co.uk,Fashion & Apparel,London,"Streatleigh Parade, Streatham High Rd",SW16 1EQ,,http://www.odak.co.uk/,"ODAK Computing & Printing is dedicated to providing comprehensive, professional and affordable IT solutions for small to medium size enterprises since 2002.",pc:SW16,Printing shop,1
Oliver Bonas,flora.grundy@wisconsin.gov,Fashion & Apparel,London,"Units 7 - 9, The Balcony, Waterloo Station",SE1 7LY,,https://www.oliverbonas.com/waterloo%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DLPM-London-Waterloo_Station_Unit_9_The_Balcony,"Retail chain specialising in feminine clothes & accessories, fashionable jewellery & homewares.",pc+hint:SE1,Clothing Shop,3
Peacocks,sam.warwick@peacocks.co.uk,Fashion & Apparel,London,"Units 2 & 3, 210/224 Streatham High Rd",SW16 1BB,peacocks_fashion,http://www.peacocks.co.uk/,"Fashion chain offering discount clothing, footwear & accessories for the whole family.",pc:SW16,Clothing Shop,3
Rachel & Malika's,rachelandmalikas@gmail.com,Fashion & Apparel,London,"Granville Arcade, Coldharbour Ln",SW9 8PR,rachelmalikas,http://www.rachelandmalikas.com/,"We stock an assortment of colourful & functional shakers for babies upwards, mostly form Peru",pc:SW9,Gift shop,1
Runners Need Clapham,enquiries@runnersneed.com,Fashion & Apparel,London,85 St John's Rd,SW11 1QY,,https://www.runnersneed.com/stores/london-clapham-junction.html%3Futm_source%3DExtNet%26utm_medium%3DBrightLocal,"Specialist retail chain offering running shoes, clothing & equipment, plus expert fitting advice.",hint,Running Shop,3
Shopstop @ Clapham Junction,info@shopstopclaphamjunction.com,Fashion & Apparel,London,"1, 20 St John's Hl",SW11 1RU,fitnessfirstme,http://www.shopstopclaphamjunction.com/,"Visit Shopstop for a wide range of shops, cafes and bars all located a step away from Clapham Junction Railway Station.",hint,Shopping Centre,3
Skin Two Waterloo (Previously Honour Shop),info@skintwo.com,Fashion & Apparel,London,86 Lower Marsh,SE1 7AB,skintwoglobal,https://www.skintwo.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3DWaterloo%26utm_content%3Dgmb,"Fetish clothing, bondage and sex toys make Skin Two (previously Honour) the place to come to satisfy your deepest desires. Established in 1983.",pc+hint:SE1,Clothing Shop,2
Sloe Vintage,sloevintageuk@gmail.com,Fashion & Apparel,London,"Unit 38, Brixton Village",SW9 8PR,,http://sloevintage.co.uk/,,pc:SW9,Vintage Clothing Shop,1
Stockwell Motor Accessories,john@stockwellmotors.co.uk,Fashion & Apparel,London,226-236 Clapham Rd,SW9 0PZ,,http://www.stockwellmotors.co.uk/,"For the best motoring paint for your car, call Stockwell Motor Accessories today on 020 7582 3666 and find out about our extensive range of quality paints",pc:SW9,Auto parts store,3
Tasha's Chic Boutique,tashaschicboutique@gmail.com,Fashion & Apparel,London,"33-35, Reliance Arcade",SW9 8JZ,tashaschicboutique,https://www.tashaschicboutique.com/,,pc:SW9,Boutique,1
"The Department Store, Brixton",bookings@thedepartmentstore.com,Fashion & Apparel,London,248 Ferndale Rd,SW9 8FR,squirepartners,https://thedepartmentstore.com/,,pc:SW9,Business Centre,3
The Stock Shop,jane@thestockshop.co.uk,Fashion & Apparel,London,"St Thomas's Hospital, 6, Main Entrance, Lambeth Palace Rd",SE1 7EH,lovestockshop,http://www.thestockshop.co.uk/,"Womenswear & accessories retailer based in hospitals, also offering gift items & homewares.",pc+hint:SE1,Clothing Shop,3
The Wedding Wardrobe,weddingwardrobewaterloo@gmail.com,Fashion & Apparel,London,4 Kennington Rd,SE1 7BL,,https://www.weddingwardrobewaterloo.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D1340806968993079310,"Read the Terms and Conditions of Waterloo Wedding Wardrobe. Learn about our policies, purchase agreements, return procedures, and more. Ensure a smooth and informed shopping experience with us.",pc+hint:SE1,Bridal shop,1
Top Boutique Uk,support@topboutique.shop,Fashion & Apparel,London,"Unit 1, 3 Elephant Rd",SE17 1LB,,https://topboutique.shop/,,pc:SE17,Clothing Shop,1
United Colors of Benetton,infolicensing@benetton.it,Fashion & Apparel,London,"MORLEY'S STORES, 472-488 Brixton Rd",SW9 8EH,benetton,https://gb.benetton.com/%3F_r%3Dno,"Fashion chain with own-brand casual & brightly colored apparel, plus accessories.",pc:SW9,Clothing Shop,1
USC,anna.frendo@usc.co.uk,Fashion & Apparel,London,"20, 24a Pope's Rd",SW9 8JH,uscfashion,https://www.usc.co.uk/stores/brixton-store-1806,Fashion chain offering adults' & children's clothes & shoes from more than 150 prominent brands.,pc:SW9,Clothing Shop,3
Venus Barbers,venusbarbersclapham@gmail.com,Fashion & Apparel,London,105A Clapham High St,SW4 7TB,venus.barbers,https://venusbarbersclapham.co.uk/,"Looking for mens haircuts Clapham? Venus Barbers offers mens haircuts Clapham, skin fades, classic cuts and beard trims on Clapham High Street, London SW4 7TB. Walk-ins welcome.",pc+hint:SW4,Barber shop,2
Waistrainer uk,info@waistraineruk.com,Fashion & Apparel,London,"Unit 6, RELIANCE Arcade, 455 Brixton Rd",SW9 8JZ,waistrainer_uk,http://www.waistraineruk.com/,"Hour Glass Stage Two Faja, bespoke designed for bigger hips and smaller waist. Its perfectly designed to provide support for the body after liposuction, BBL, tummy tuck or any other cosmetic procedure.Benefits and Characteristics:- Assists in the process of post-surgical recovery, for reducing inflammation of the tissue and preventing fluid retention.- Contribute to adhering the skin to the muscle tissue stimulating the healing process.- 4 rows of hooks and eyes allows you to alter the size of t",pc:SW9,Lingerie shop,3
White Feather Boutique,sheena@whitefeatherboutique.co.uk,Fashion & Apparel,London,294 Milkwood Rd,SE24 0EZ,white_feather_boutique,http://www.whitefeatherboutique.co.uk/,"With a passion for creating small pieces of everyday beauty with a touch of Scandinavian simplicity, Pernille Corydon embraces nature and captures shapes that come to life.   Founded in Denmark in 2007 Pernille Corydon believes in giving the wearer the opportunity to express their personality and femininity.",pc:SE24,Clothing Shop,1
Anna Castro Boutique,,Fashion & Apparel,London,"Unit 4, Castle Square",SE17 1EU,,,,pc:SE17,Ladies' Clothes Shop,0
Bella West,,Fashion & Apparel,London,"Granville Arcade, Unit 76 Coldharbour Ln",SW9 8PR,,,,pc:SW9,Vintage Clothing Shop,0
Brixton street wear,,Fashion & Apparel,London,"Brixton Village, Coldharbour Ln",SW9 8PS,,,,pc:SW9,Clothing Shop,0
Brixton Tights and Hosiery London,,Fashion & Apparel,London,14A Coldharbour Ln,SW9 8LD,,,,pc:SW9,Ladies' Clothes Shop,0
Deka's Boutique,,Fashion & Apparel,London,310 Streatham High Rd,SW16 6HG,,,,pc:SW16,Clothing Shop,0
Drinks Island - Streatham,,Fashion & Apparel,London,74 Streatham Hill,SW2 4RD,,,,pc:SW2,Convenience Store,0
Elleet,,Fashion & Apparel,London,Brixton Rd,SW9 7AA,,,,pc:SW9,Clothing Shop,0
Kara,,Fashion & Apparel,London,128 Streatham High Rd,SW16 1BW,,,,pc:SW16,Ladies' Clothes Shop,0
Leona,,Fashion & Apparel,London,"Brixton Village, Unit 5 Coldharbour Ln",SW9 8PR,,,,pc:SW9,Vintage Clothing Shop,0
Nazu Cultural Shop,,Fashion & Apparel,London,"Unit 18, 416 Brixton Rd",SW9 7AY,,,,pc:SW9,Clothing Shop,0
Risky,,Fashion & Apparel,London,510 Brixton Rd,SW9 8EN,,,,pc:SW9,Ladies' Clothes Shop,0
Stella Fashion,,Fashion & Apparel,London,Ash Ave,SE17 1TX,,,,pc:SE17,Clothing Shop,0
