name,type,city,address,postcode,district,website,phone,rating,reviews
A.F Elite Shoes,Shoe Shop,Camberwell,30 Camberwell Church St,SE5 8QZ,SE5,,+44 7916 086816,5,10
Dash The Henge Store,Clothing Shop,Camberwell,348 Camberwell New Rd,SE5 0RW,SE5,https://dashthehengestore.com/,,4.9,73
Fetish Freak (FF),Adult entertainment store,Camberwell,76 Bolton Cres,SE5 0SE,SE5,http://www.fetishfreak.co.uk/,+44 20 7091 0031,4.9,55
Hat Shop,Clothing Shop,Camberwell,16 Camberwell Rd,SE5 0EN,SE5,http://www.bullantic.com/,+44 7951 142512,3,4
Sophia’s Fashion Boutique,African goods shop,Camberwell,31 Camberwell Rd,SE5 0EY,SE5,,+44 7943 304872,,
TTFN Vintage,Vintage Clothing Shop,Camberwell,106-108 Denmark Hill,SE5 8RX,SE5,,+44 7735 615275,4.7,19
Vintage T.O.G.s,Vintage Clothing Shop,Camberwell,108 Denmark Hill,SE5 8RX,SE5,,,4.5,2
White Hall Clothiers,Uniform Shop,Camberwell,77 Camberwell Rd,SE5 0EZ,SE5,http://www.whitehallclothiers.com/,+44 20 7703 3604,4.3,106
Balham Hill Local Sainsbury's (Argos Collection Point),Clothing Shop,Balham,21 Balham Hill,SW12 9DY,SW12,https://www.argos.co.uk/stores/5433-balham-hill-local-sainsbury%27s-(argos-collection-point)%3Fy_source%3D1_MTk1MzMyMzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,+44 20 8675 8003,3,1
Balham Sainsbury's (Argos Collection Point),Clothing Shop,Balham,147-151 Balham High Rd,SW12 9AU,SW12,https://www.argos.co.uk/stores/5704-balham-sainsbury%27s-(argos-collection-point)%3Fy_source%3D1_NTYwMjMzODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,+44 20 8675 1162,4.3,10
Goldthread Domas Vintage London,Vintage Clothing Shop,Balham,11 Fernlea Rd,SW12 9RT,SW12,https://www.goldthreaddomas.com/,,5,4
J Rogers & Sons,Shoe repair shop,Balham,"Inside underground station, 1 Balham Station Rd",SW12 9SG,SW12,http://www.jrogers.co.uk/,+44 20 8772 1853,4.9,150
JoJo Maman Bébé - Balham,Baby shop,Balham,39 Bedford Hill,SW12 9EY,SW12,http://www.jojomamanbebe.co.uk/,+44 20 8675 1906,3.7,15
Lark Balham,Gift shop,Balham,24 Bedford Hill,SW12 9RG,SW12,http://www.larklondon.com/,+44 20 8143 6293,4.9,93
Mathews Shoe Repairers - Precision Key Cutting & Watch Repair,Key Duplication Service,Balham,35 Balham Hill,SW12 9DX,SW12,,+44 20 8675 7643,4.8,927
Oliver Bonas,Clothing Shop,Balham,186-188 Balham High Rd,SW12 9BP,SW12,https://www.oliverbonas.com/balham%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DLPM-London-101-103_Balham_High_Road,+44 7721 475554,4.3,56
Perfect Alterations,Clothing alteration service,Balham,98 Bedford Hill,SW12 9HR,SW12,http://perfectalterations.co.uk/,+44 20 8675 5499,4.8,140
Anfani Fashions,Clothing Shop,Streatham,129 Streatham High Rd,SW16 1HS,SW16,,+44 7483 409059,5,3
Clique,Men's Clothes Shop,Streatham,81 Streatham High Rd,SW16 1PH,SW16,https://cliquekara.com/,,4.8,73
Deka's Boutique,Clothing Shop,Streatham,310 Streatham High Rd,SW16 6HG,SW16,,,5,1
Jeans Corner London,Jeans shop,Streatham,89 Streatham High Rd,SW16 1PH,SW16,http://www.jeanscorner.co.uk/,+44 20 8677 0555,4.5,33
Kara,Ladies' Clothes Shop,Streatham,128 Streatham High Rd,SW16 1BW,SW16,,+44 20 8769 6667,4,22
Lark Streatham,Men's Clothes Shop,Streatham,25,SW16 1EX,SW16,http://www.larklondon.com/,+44 20 8769 5636,4.9,106
Number Six,Men's Clothes Shop,Streatham,"Number Six, 1A Kempshott Rd",SW16 5LG,SW16,https://www.numbersixlondon.com/,+44 20 7193 9140,4.3,159
Peacocks,Clothing Shop,Streatham,"Units 2 & 3, 210/224 Streatham High Rd",SW16 1BB,SW16,http://www.peacocks.co.uk/,+44 20 8677 8684,4.1,59
Clarissas Boutique,Ladies' Clothes Shop,Brixton,"Unit B10, The Link Business Centre, 49 Effra Rd",SW2 1BZ,SW2,https://clarissasboutique.co.uk/,+44 7960 159690,4.4,7
"Caplaneris Key Cutting, Watch Repair Workshop, Engraving & Quality Shoe Repair",Key Duplication Service,Clapham,78C Clapham High St,SW4 7UL,SW4,,+44 7743 025989,4.7,107
FETCH,Clothing Shop,Clapham,"Arch 642, Voltaire Rd",SW4 6DH,SW4,http://www.fetchshop.co.uk/,+44 20 4539 8992,4.8,53
Key Cutting & Shoe Repair,Key Duplication Service,Clapham,118 Clapham High St,SW4 7UH,SW4,,+44 7429 819367,3,22
Oliver Bonas,Clothing Shop,Clapham,23 The Pavement,SW4 0JA,SW4,https://www.oliverbonas.com/clapham%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DLPM-London-23_The_Pavement,+44 20 7720 8272,4.5,71
SoleManiac,Shoe Shop,Clapham,Wandsworth Rd,SW4 6AD,SW4,,+44 7572 006121,,
Circa Vintage,Vintage Clothing Shop,Vauxhall,87a Lansdowne Way,SW8 2PB,SW8,http://www.circavintage.com/,+44 20 7736 5038,4.2,13
Design & Alter,Clothing alteration service,Vauxhall,14 Ingate Pl,SW8 3NS,SW8,http://www.designandalter.com/,+44 20 7498 4360,4.4,157
Eclectica (Clapham),Collectibles Shop,Clapham,803 Wandsworth Rd,SW8 3JH,SW8,,+44 7940 555674,4.9,39
Levi's® London Battersea,Clothing Shop,Vauxhall,"Ground Floor, The Power Station, Circus Rd W",SW8 5BN,SW8,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_5456.html,+44 20 3376 0410,4,40
Michael's Shoe Repairs & Key Cutting,Shoe repair shop,Vauxhall,45 S Lambeth Rd,SW8 1RH,SW8,http://www.michaelsshoerepairs.co.uk/,+44 20 7735 2386,4.9,221
Reiss,Clothing Shop,Vauxhall,"unit g005b, Circus Rd W",SW8 5BN,SW8,https://www.reiss.com/storelocator/reissbatterseapowerstation/4264,+44 20 3058 7165,3.6,34
Shipton & Heneage Ltd,Shoe Shop,Vauxhall,117 Queenstown Rd,SW8 3RH,SW8,http://www.shipton.com/,+44 20 7738 8484,4.6,25
Zadig&Voltaire,Ladies' Clothes Shop,Vauxhall,"Unit UG 013, R, Battersea power Station, Zadig&Voltaire, Cringle St",SW8 5BN,SW8,https://zadig-et-voltaire.com/%3Futm_medium%3DGMB%26utm_source%3DYext,+44 20 7627 2139,4,11
Afrodesigns.co.uk,Clothing Shop,Brixton,"29-31 Granville Arcade, Brixton Village Inside Market Hall, Atlantic Rd",SW9 8PR,SW9,https://afrodesigns.co.uk/,+44 20 7737 1999,3.7,3
Atelier by Khosh - The Tailor,Clothing alteration service,Brixton,4 Landor Rd,SW9 9PP,SW9,http://www.atelierbykhosh.co.uk/,+44 7946 843030,5,679
Bella West,Vintage Clothing Shop,Brixton,"Granville Arcade, Unit 76 Coldharbour Ln",SW9 8PR,SW9,,,5,6
Best of Both Boutique,Ladies' Clothes Shop,Brixton,17 Brixton Station Rd,SW9 8PB,SW9,http://bestofbothboutique.co.uk/,+44 7955 390277,5,59
BRIXTON BOUTIQUES,Clothing Shop,Brixton,London SW9 8HH,SW9 8HH,SW9,,,,
Brixton street wear,Clothing Shop,Brixton,"Brixton Village, Coldharbour Ln",SW9 8PS,SW9,,+44 7469 447135,5,23
Brixton Tights and Hosiery London,Ladies' Clothes Shop,Brixton,14A Coldharbour Ln,SW9 8LD,SW9,,+44 7877 341921,,
Elleet,Clothing Shop,Brixton,Brixton Rd,SW9 7AA,SW9,,+44 7824 698387,5,6
Flow’s Fashion Exclusive,Clothing Shop,Brixton,London SW9 8JL,SW9 8JL,SW9,,,,
H&M,Clothing Shop,Brixton,457-461 Brixton Rd,SW9 8HH,SW9,https://www2.hm.com/en_gb/customer-service/shopping-at-hm/store-locator/united%2520kingdom/london/hm-brixton/GB0723.html%3Futm_source%3Dgoogle_location%26utm_medium%3Dorganic%26utm_content%3DGB0723%26utm_campaign%3Dpi_GBQ00AAU0AA004,+44 344 736 9000,4.1,1053
Heels Etc London,Shoe repair shop,Brixton,19 Electric Ln,SW9 8LA,SW9,,+44 7375 325501,4.6,93
Indie Bride London,Bridal shop,Brixton,90 Brixton Rd,SW9 6BE,SW9,http://www.indiebridelondon.co.uk/,+44 20 7735 4678,4.9,117
JD Sports,Sportswear Shop,Brixton,451-453 Brixton Rd,SW9 8HH,SW9,https://www.jdsports.co.uk/%3Futm_campaign%3D651%26utm_source%3Dgoogle%2Blistings%26utm_medium%3Dorganic%26y_source%3D1_ODk3MTEwNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+44 20 7737 3728,3.6,403
"Ladies Girdle - The Best Waist Trainer ,fajas",Clothing Shop,Brixton,28 Atlantic Rd,SW9 8JA,SW9,http://www.ladiesgirdle.co.uk/,+44 20 3417 2270,5,578
Leona,Vintage Clothing Shop,Brixton,"Brixton Village, Unit 5 Coldharbour Ln",SW9 8PR,SW9,,+44 7903 860196,5,8
Loved again,Home Furniture Shop,Stockwell,140 Stockwell Rd,SW9 9TQ,SW9,,+44 7518 980657,4.5,38
Morleys Brixton,Department store,Brixton,472-488 Brixton Rd,SW9 8EH,SW9,https://www.elyswimbledon.co.uk/pages/morleys-brixton,+44 20 7274 6246,4.1,1169
myBoonies,Clothing Shop,Brixton,London SW9 8EN,SW9 8EN,SW9,http://www.myboonies.com/,,,
Nazu Cultural Shop,Clothing Shop,Brixton,"Unit 18, 416 Brixton Rd",SW9 7AY,SW9,,+44 7940 276776,5,28
Rachel & Malika's,Gift shop,Brixton,"Granville Arcade, Coldharbour Ln",SW9 8PR,SW9,http://www.rachelandmalikas.com/,+44 7988 318125,4.6,12
Risky,Ladies' Clothes Shop,Brixton,510 Brixton Rd,SW9 8EN,SW9,,+44 20 7924 0322,3.2,9
Sloe Vintage,Vintage Clothing Shop,Brixton,"Unit 38, Brixton Village",SW9 8PR,SW9,http://sloevintage.co.uk/,,4.8,17
Sports Direct,Sportswear Shop,Brixton,20-24a Pope's Rd,SW9 8JH,SW9,https://www.sportsdirect.com/brixton-store-1806,+44 343 777 1806,3.8,404
Tasha's Chic Boutique,Boutique,Brixton,"33-35, Reliance Arcade",SW9 8JZ,SW9,https://www.tashaschicboutique.com/,+44 7878 284727,5,21
United Colors of Benetton,Clothing Shop,Brixton,"MORLEY'S STORES, 472-488 Brixton Rd",SW9 8EH,SW9,https://gb.benetton.com/%3F_r%3Dno,+44 20 7274 6246,3.9,11
USC,Clothing Shop,Brixton,"20, 24a Pope's Rd",SW9 8JH,SW9,https://www.usc.co.uk/stores/brixton-store-1806,+44 343 777 1806,3.7,6
Waistrainer uk,Lingerie shop,Brixton,"Unit 6, RELIANCE Arcade, 455 Brixton Rd",SW9 8JZ,SW9,http://www.waistraineruk.com/,+44 7944 368531,4.9,126
